BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,,,,,,,,,,,,,,
1,570,MILANO,CORAL,5XL,13,,,,,,,,,,,,,,,,,,,,,,
1,570,MILANO,CORAL,6XL,25,,,,,,,,,,,,,,,,,,,,,,
1,570,MILANO,CORAL,7XL,11,,,,,,,,,,,,,,,,,,,,,,
1,570,MILANO,CORAL,8XL,12,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,BLACK,7XL,1,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,BLACK,8XL,1,,,,,,,,,,,,,,,,,,,,,,
2,G1116,MILANO FORMALS,LILAC,8XL,12,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,S,7,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,M,14,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,7XL,2,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,8XL,1,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,6XL,6,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,5XL,4,,,,,,,,,,,,,,,,,,,,,,
2,570,MILANO,NAVY,2XL,3,,,,,,,,,,,,,,,,,,,,,,
3,570,MILANO,LILAC,S,1,,,,,,,,,,,,,,,,,,,,,,
3,570,MILANO,LILAC,L,1,,,,,,,,,,,,,,,,,,,,,,
3,570,MILANO,LILAC,6XL,3,,,,,,,,,,,,,,,,,,,,,,
3,570,MILANO,LILAC,7XL,2,,,,,,,,,,,,,,,,,,,,,,
3,570,MILANO,LILAC,8XL,22,,,,,,,,,,,,,,,,,,,,,,
3,G1116,MILANO FORMALS,LILAC,6,3,,,,,,,,,,,,,,,,,,,,,,
3,G1116,MILANO FORMALS,LILAC,12,2,,,,,,,,,,,,,,,,,,,,,,
3,G1116,MILANO FORMALS,LILAC,20,1,,,,,,,,,,,,,,,,,,,,,,
3,G1116,MILANO FORMALS,LILAC,7XL,3,,,,,,,,,,,,,,,,,,,,,,
4,E1852,,BURGUNDY,6,2,,,,,,,,,,,,,,,,,,,,,,
4,1116,,CORAL,6XL,3,,,,,,,,,,,,,,,,,,,,,,
4,1116,,CORAL,7XL,5,,,,,,,,,,,,,,,,,,,,,,
4,1116,,CORAL,8XL,7,,,,,,,,,,,,,,,,,,,,,,
4,E1799,,FUCHSIA,6,2,,,,,,,,,,,,,,,,,,,,,,
4,E1852,,PINK,6,3,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,6XL,26,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,S,1,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,M,1,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,5XL,7,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,7XL,6,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,8XL,6,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,2XL,4,,,,,,,,,,,,,,,,,,,,,,
5,570,MILANO,NAVY,4XL,1,,,,,,,,,,,,,,,,,,,,,,
6,E1421,,CORAL,4,1,,,,,,,,,,,,,,,,,,,,,,
6,E1421,,CORAL,6,4,,,,,,,,,,,,,,,,,,,,,,
6,E1421,,CORAL,10,5,,,,,,,,,,,,,,,,,,,,,,
6,E1421,,CORAL,20,2,,,,,,,,,,,,,,,,,,,,,,
6,E1421,,CORAL,24,2,,,,,,,,,,,,,,,,,,,,,,
6,E2770,,RED,6,1,,,,,,,,,,,,,,,,,,,,,,
6,E2327,,RED/BLACK,6,1,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,0,2,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,6,12,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,8,4,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,10,2,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,12,1,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED,14,1,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,0,1,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,2,1,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,4,4,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,6,4,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,10,1,,,,,,,,,,,,,,,,,,,,,,
7,E2513,MILANO FORMALS,RED,14,1,,,,,,,,,,,,,,,,,,,,,,
7,E2253,MILANO FORMALS,RED ,4,1,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LAVENDER,5XL,6,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LAVENDER,6XL,5,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LAVENDER,7XL,1,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LAVENDER,4XL,1,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LILAC,6XL,35,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LILAC,7XL,2,,,,,,,,,,,,,,,,,,,,,,
8,570,MILANO,LILAC,8XL,1,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,S,17,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,M,14,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,L,9,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/66,,BLACK,XL,4,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,S,7,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,M,8,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/502,,OFF WHITE,L,7,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,S,16,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,M,9,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,L,11,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/344,,OLIVE GREEN,XL,3,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,S,13,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,M,4,,,,,,,,,,,,,,,,,,,,,,
9,BD2006/741,,PURPLE,L,2,,,,,,,,,,,,,,,,,,,,,,
10,570,MILANO,LILAC,7XL,24,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,XL,1,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,6XL,29,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,7XL,5,,,,,,,,,,,,,,,,,,,,,,
10,BZ570,MILANO,ROYAL BLUE,8XL,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,3XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,4XL,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,BANANA YELLOW,5XL,7,,,,,,,,,,,,,,,,,,,,,,
11,E1890,,BLACK,6,5,,,,,,,,,,,,,,,,,,,,,,
11,E1890,,BLACK,8,2,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,CORAL,7XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,PINK,6XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,PINK,7XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,S,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,6XL,3,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,ROYAL BLUE,8XL,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,M,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,L,1,,,,,,,,,,,,,,,,,,,,,,
11,E1127,,TRUFFLE,XL,1,,,,,,,,,,,,,,,,,,,,,,
11,570,MILANO,VICTORIA LILAC,6XL,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,2,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,6,1,,,,,,,,,,,,,,,,,,,,,,
12,E2560,,NAVY,10,2,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,S,14,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,M,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2006/413,,,L,1,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/101,,,L,1,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/101,,,XL,4,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,M,2,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,L,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,XL,3,,,,,,,,,,,,,,,,,,,,,,
12,BD2007/417,,,2XL,3,,,,,,,,,,,,,,,,,,,,,,
