STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
1116,BANANA,5XL,,13.0
1116,BANANA,6XL,,24.0
1116,BANANA,7XL,,5.0
1116,BANANA,8XL,,10.0
1116,BANANA (FLOWER),6XL,,6.0
1116,BURGUNDY,3XL,,1.0
1116,BURGUNDY,7XL,,9.0
1116,BURGUNDY,8XL,,2.0
1116,CHAMPAGNE,8XL,,1.0
1116,CORAL,5XL,,2.0
1116,CORAL,6XL,,9.0
1116,CORAL,7XL,,18.0
1116,CORAL,8XL,,20.0
1116,FUCHSIA,7XL,,4.0
1116,FUCHSIA,8XL,,3.0
1116,GOLD,3XL,,2.0
1116,GOLD,6XL,,21.0
1116,GOLD,7XL,,6.0
1116,GOLD,8XL,,11.0
1116,IVORY,S,,9.0
1116,NAVY,S,,2.0
1116,PINK,7XL,,6.0
1116,SILVER,7XL,,2.0
1116,SILVER,8XL,,1.0
1116,SILVER,S,,6.0
570,APPLE RED,6XL,,19.0
570,APPLE RED,7XL,,17.0
570,APPLE RED,8XL,,7.0
570,BANANA,20,,1.0
570,BANANA,22,,1.0
570,BANANA,3XL,,1.0
570,BANANA,4XL,,2.0
570,BANANA,5XL,,8.0
570,BANANA,6XL,,22.0
570,BANANA,7XL,,37.0
570,BANANA,8XL,,30.0
570,BANANA YELLOW,3XL,MILANO,6.0
570,BANANA YELLOW,4XL,MILANO,16.0
570,BANANA YELLOW,5XL,MILANO,52.0
570,BANANA YELLOW,7XL,MILANO,1.0
570,BANANA YELLOW,8XL,MILANO,4.0
570,BLACK,2,MILANO,1.0
570,BLACK,7XL,MILANO,7.0
570,BLACK,8XL,MILANO,3.0
570,BURGUNDY,5XL,,5.0
570,BURGUNDY,6XL,,46.0
570,BURGUNDY,7XL,,34.0
570,BURGUNDY,8XL,,26.0
570,CHAMPAGNE,4XL,,5.0
570,CHAMPAGNE,5XL,,10.0
570,CHAMPAGNE,6XL,,19.0
570,CHAMPAGNE,7XL,,36.0
570,CHAMPAGNE,8XL,,32.0
570,CHAMPAGNE,XL,,1.0
570,CORAL,4XL,,1.0
570,CORAL,5XL,MILANO,15.0
570,CORAL,6XL,MILANO,38.0
570,CORAL,7XL,MILANO,23.0
570,CORAL,8XL,MILANO,22.0
570,DARK GREEN,12,,1.0
570,DARK GREEN,16,,1.0
570,FUCHSIA,5XL,MILANO,19.0
570,FUCHSIA,6XL,MILANO,43.0
570,FUCHSIA,7XL,MILANO,46.0
570,FUCHSIA,8XL,MILANO,43.0
570,FUCHSIA,S,MILANO,6.0
570,GREEN,14,,1.0
570,GREEN,16,,1.0
570,IVORY,5XL,,10.0
570,IVORY,6XL,,4.0
570,IVORY,8XL,,1.0
570,LAVENDER,3XL,,3.0
570,LAVENDER,4XL,MILANO,6.0
570,LAVENDER,5XL,MILANO,15.0
570,LAVENDER,6XL,MILANO,28.0
570,LAVENDER,7XL,MILANO,26.0
570,LAVENDER,8XL,,30.0
570,LAVENDER,L,,2.0
570,LAVENDER,M,,1.0
570,LAVENDER,S,,1.0
570,LAVENDER,XL,,1.0
570,LILAC,2,,1.0
570,LILAC,26,,1.0
570,LILAC,3XL,,9.0
570,LILAC,4XL,,2.0
570,LILAC,5XL,,10.0
570,LILAC,6XL,MILANO,88.0
570,LILAC,7XL,MILANO,59.0
570,LILAC,8,,1.0
570,LILAC,8XL,MILANO,61.0
570,LILAC,L,MILANO,18.0
570,LILAC,M,,1.0
570,LILAC,S,MILANO,25.0
570,LILAC,XL,,1.0
570,MINT,14,,2.0
570,NAVY,2,,2.0
570,NAVY,2XL,MILANO,8.0
570,NAVY,3XL,,1.0
570,NAVY,4XL,MILANO,1.0
570,NAVY,5,,1.0
570,NAVY,5XL,MILANO,14.0
570,NAVY,6,,1.0
570,NAVY,6XL,MILANO,33.0
570,NAVY,7XL,MILANO,9.0
570,NAVY,8XL,MILANO,10.0
570,NAVY,L,,3.0
570,NAVY,M,MILANO,23.0
570,NAVY,S,MILANO,12.0
