STYLE NO.,COLOR,SIZE,BOX NUMBER,BRAND NAME,QUANTITY
1116,BANANA,5XL,36.0,,2.0
1116,BANANA,5XL,289.0,,11.0
1116,BANANA,6XL,25.0,,2.0
1116,BANANA,6XL,36.0,,4.0
1116,BANANA,6XL,289.0,,17.0
1116,BANANA,6XL,561.0,,1.0
1116,BANANA,7XL,25.0,,3.0
1116,BANANA,7XL,43.0,,1.0
1116,BANANA,7XL,289.0,,1.0
1116,BANANA,8XL,25.0,,7.0
1116,BANANA,8XL,43.0,,1.0
1116,BANANA,8XL,56.0,,2.0
1116,BANANA (FLOWER),6XL,25.0,,6.0
1116,BURGUNDY,3XL,87.0,,1.0
1116,BURGUNDY,7XL,87.0,,7.0
1116,BURGUNDY,7XL,326.0,,2.0
1116,BURGUNDY,8XL,326.0,,2.0
1116,CHAMPAGNE,8XL,287.0,,1.0
1116,CORAL,5XL,36.0,,2.0
1116,CORAL,6XL,4.0,,3.0
1116,CORAL,6XL,36.0,,6.0
1116,CORAL,7XL,4.0,,5.0
1116,CORAL,7XL,36.0,,10.0
1116,CORAL,7XL,289.0,,3.0
1116,CORAL,8XL,4.0,,7.0
1116,CORAL,8XL,13.0,,1.0
1116,CORAL,8XL,28.0,,3.0
1116,CORAL,8XL,36.0,,8.0
1116,CORAL,8XL,289.0,,1.0
1116,FUCHSIA,7XL,111.0,,4.0
1116,FUCHSIA,8XL,180.0,,3.0
1116,GOLD,3XL,295.0,,2.0
1116,GOLD,6XL,88.0,,15.0
1116,GOLD,6XL,287.0,,3.0
1116,GOLD,6XL,295.0,,3.0
1116,GOLD,7XL,287.0,,2.0
1116,GOLD,7XL,295.0,,4.0
1116,GOLD,8XL,88.0,,8.0
1116,GOLD,8XL,295.0,,3.0
1116,IVORY,S,298.0,,9.0
1116,NAVY,S,706.0,,2.0
1116,PINK,7XL,778.0,,6.0
1116,SILVER,7XL,50.0,,2.0
1116,SILVER,8XL,50.0,,1.0
1116,SILVER,S,50.0,,5.0
1116,SILVER,S,65.0,,1.0
570,APPLE RED,6XL,518.0,,19.0
570,APPLE RED,7XL,518.0,,17.0
570,APPLE RED,8XL,518.0,,7.0
570,BANANA,20,291.0,,1.0
570,BANANA,22,291.0,,1.0
570,BANANA,3XL,226.0,,1.0
570,BANANA,4XL,140.0,,1.0
570,BANANA,4XL,297.0,,1.0
570,BANANA,5XL,158.0,,1.0
570,BANANA,5XL,297.0,,6.0
570,BANANA,5XL,301.0,,1.0
570,BANANA,6XL,448.0,,18.0
570,BANANA,6XL,449.0,,4.0
