Handle,Color,Size,Brand,Quantity
2260,BLACK/RED,4,MILANO FORMALS,1
42113,APRICOT,12,MILANO FORMALS,3
42113,APRICOT,14,MILANO FORMALS,2
42113,PINK,8,MILANO FORMALS,1
42113,PINK,10,MILANO FORMALS,1
42213,PINK,10,MILANO FORMALS,1
4386,BLACK,12,MILANO FORMALS,2
4386,BLACK,16,MILANO FORMALS,3
80377,AQUA,0,MILANO FORMALS,1
88468,BLACK,8,MILANO FORMALS,10
88468,BLACK,10,MILANO FORMALS,11
A1054,IVORY,12,MILANO FORMALS,1
AT0685,WHITE,6,MILANO FORMALS,1
AT0687,IVORY,8,MILANO FORMALS,1
AT0999,BURGUNDY,8,MILANO FORMALS,7
AT0999,BURGUNDY,34,MILANO FORMALS,4
AT0999,BURNT ORANGE,8,MILANO FORMALS,2
AT0999,DUSTY PINK,8,MILANO FORMALS,15
AT0999,DUSTY PINK,10,MILANO FORMALS,4
AT0999,DUSTY PINK,12,MILANO FORMALS,3
AT0999,DUSTY PINK,14,MILANO FORMALS,9
AT0999,LILAC,8,MILANO FORMALS,16
AT0999,LILAC,10,MILANO FORMALS,4
AT0999,PURPLE,4,MILANO FORMALS,1
AT0999,PURPLE,8,MILANO FORMALS,7
AT0999,PURPLE,12,MILANO FORMALS,2
AT0999,PURPLE,18,MILANO FORMALS,2
AT0999,PURPLE,22,MILANO FORMALS,1
AT0999,PURPLE,34,MILANO FORMALS,2
AT0999,TRUFFLE,8,MILANO FORMALS,10
AT0999,TRUFFLE,10,MILANO FORMALS,4
AT0999,TRUFFLE,12,MILANO FORMALS,1
AT0999,TRUFFLE,14,MILANO FORMALS,1
AT0999,TRUFFLE,26,MILANO FORMALS,1
AT0999,TRUFFLE,30,MILANO FORMALS,3
AT0999,TRUFFLE,34,MILANO FORMALS,6
AT1001,APPLE RED,4,MILANO FORMALS,1
AT1001,APPLE RED,10,MILANO FORMALS,2
AT1001,APPLE RED,12,MILANO FORMALS,2
AT1001,APPLE RED,14,MILANO FORMALS,3
AT1001,APPLE RED,24,MILANO FORMALS,1
AT1001,CHAMPAGNE,18,MILANO FORMALS,1
AT1001,CLARET,4,MILANO FORMALS,9
AT1001,CLARET,6,MILANO FORMALS,7
AT1001,CLARET,8,MILANO FORMALS,4
AT1001,CLARET,10,MILANO FORMALS,4
AT1001,CLARET,16,MILANO FORMALS,6
AT1001,CORAL,4,MILANO FORMALS,18
AT1001,CORAL,6,MILANO FORMALS,5
AT1001,CORAL,8,MILANO FORMALS,13
AT1001,CORAL,10,MILANO FORMALS,3
AT1001,CORAL,12,MILANO FORMALS,7
AT1001,CORAL,14,MILANO FORMALS,1
AT1001,CORAL,16,MILANO FORMALS,6
AT1001,CORAL,22,MILANO FORMALS,1
AT1001,CORAL,38,MILANO FORMALS,2
AT1001,CORAL,40,MILANO FORMALS,1
AT1001,LIGHT GREEN,2,MILANO FORMALS,1
AT1001,LIGHT GREEN,8,MILANO FORMALS,8
AT1001,POOL,4,MILANO FORMALS,1
AT1001,POOL,8,MILANO FORMALS,4
AT1001,POOL,10,MILANO FORMALS,5
AT1001,POOL,12,MILANO FORMALS,3
AT1001,POOL,14,MILANO FORMALS,1
AT1001,RED,4,MILANO FORMALS,4
AT1001,RED,6,MILANO FORMALS,1
AT1001,RED,8,MILANO FORMALS,9
AT1001,RED,10,MILANO FORMALS,6
AT1001,RED,12,MILANO FORMALS,8
AT1001,RED,20,MILANO FORMALS,1
AT1001,ROYAL,4,MILANO FORMALS,2
AT1001,ROYAL,6,MILANO FORMALS,5
AT1001,ROYAL,8,MILANO FORMALS,2
