Handle,Color,Size,Brand,Quantity,Price,Description
NV7397,BLACK,2,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,4,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,6,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,8,MILANO FORMALS,5,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,10,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,12,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,14,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,BLACK,18,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,0,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,2,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,4,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,6,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,12,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7397,MINT,14,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow
NV7398,EMERALD,0,MILANO FORMALS,1,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,2,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,4,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,6,MILANO FORMALS,10,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,8,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,10,MILANO FORMALS,3,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,EMERALD,14,MILANO FORMALS,1,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,NAVY,4,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,NAVY,8,MILANO FORMALS,4,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7398,NAVY,18,MILANO FORMALS,2,199.0,Stunning emerald green strapless cocktail dress with corset style lace up back
NV7399,RED,2,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,RED,4,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
NV7399,RED,6,MILANO FORMALS,2,199.0,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style."
