Handle,Color,Size,Brand,Quantity,Price,Description,Urls
NV7397,BLACK,2,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,4,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,6,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,8,MILANO FORMALS,5,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,10,MILANO FORMALS,3,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,12,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,14,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,BLACK,18,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,MINT,0,MILANO FORMALS,1,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
NV7397,MINT,2,MILANO FORMALS,2,225.0,Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow,"https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_2.jpg,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_3.jpg"
