BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
7,E2253,MILANO FORMALS,RED,0,2,,3033,,,,,,,0
7,E2513,MILANO FORMALS,RED,0,1,,3033,,,,,,,0
18,E1946,MILANO FORMALS,NAVY,0,1,,3033,,,,,,,0
18,E2511,MILANO FORMALS,BLUE,0,1,,3033,,,,,,,0
18,E2531,MILANO FORMALS,ROYAL BLUE,0,1,,3033,,,,,,,0
43,E2253,MILANO FORMALS,PRINT,0,1,,3033,,,,,,,0
46,E1730,MILANO FORMALS,BURNT ORANGE,0,2,,3033,,,,,,,0
52,F570,MILANO FORMALS,PURPLE,0,1,,3033,,,,,,,0
70,E2601,MILANO FORMALS,EMERALD,0,1,,3033,,,,,,,0
85,E2540,MILANO FORMALS,TEAL,0,2,,3033,,,,,,,0
94,E2182,MILANO FORMALS,NAVY,0,1,,3033,,,,,,,0
95,E1988,MILANO FORMALS,ROYAL BLUE,0,5,,3033,,,,,,,0
101,E2114,MILANO FORMALS,ROYAL BLUE,0,2,,3033,,,,,,,0
103,E1908,MILANO FORMALS,SKY BLUE,0,2,,3033,,,,,,,0
110,E2532,MILANO FORMALS,PRINT,0,2,,3033,,,,,,,0
110,E2543,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
113,E1264,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
113,E1605,MILANO FORMALS,PURPLE,0,1,,3033,,,,,,,0
113,E1827,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
113,E2082,MILANO FORMALS,BLACK,0,2,,3033,,,,,,,0
113,E2087,MILANO FORMALS,DIRTY ROSE,0,2,,3033,,,,,,,0
113,E2100,MILANO FORMALS,MIDNIGHT,0,1,,3033,,,,,,,0
113,E2613,MILANO FORMALS,MAUVE,0,1,,3033,,,,,,,0
115,E1663,MILANO FORMALS,NAVY,0,1,,3033,,,,,,,0
116,E1908,MILANO FORMALS,SKY BLUE,0,2,,3033,,,,,,,0
118,E1510,MILANO FORMALS,WHITE,0,2,,3033,,,,,,,0
120,E1520,MILANO FORMALS,BURNT ORANGE,0,1,,3033,,,,,,,0
122,E2023,MILANO FORMALS,TURQUOISE,0,2,,3033,,,,,,,0
122,E2514,MILANO FORMALS,EMERALD,0,1,,3033,,,,,,,0
122,E2526,MILANO FORMALS,GREEN,0,2,,3033,,,,,,,0
122,E2544,MILANO FORMALS,RED,0,3,,3033,,,,,,,0
124,E2532,MILANO FORMALS,PRINT,0,2,,3033,,,,,,,0
126,E2018,MILANO FORMALS,PEACOCK,0,1,,3033,,,,,,,0
126,E2018,MILANO FORMALS,GREEN,0,1,,3033,,,,,,,0
126,E2549,MILANO FORMALS,BLACK/GREEN,0,1,,3033,,,,,,,0
128,E1967,MILANO FORMALS,TEAL,0,2,,3033,,,,,,,0
132,E1893,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
132,E2527,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
135,E2171,MILANO FORMALS,SKY BLUE,0,2,,3033,,,,,,,0
141,E1502,MILANO FORMALS,CLARET,0,3,,3033,,,,,,,0
141,E1824,MILANO FORMALS,POOL,0,1,,3033,,,,,,,0
141,E2042,MILANO FORMALS,WINE,0,1,,3033,,,,,,,0
141,E2053,MILANO FORMALS,TEAL,0,2,,3033,,,,,,,0
141,E2053,MILANO FORMALS,NAVY,0,1,,3033,,,,,,,0
143,E1890,MILANO FORMALS,BLACK,0,1,,3033,,,,,,,0
143,E2225,MILANO FORMALS,BLACK/GREEN,0,2,,3033,,,,,,,0
