code,original_price,discount_price,discount_percent,title
E1344,178,115.7,35,Milano Formals E1344 Dress
E1618,258,167.7,35,Milano Formals E1618 Dress
E1637,258,167.7,35,Milano Formals E1637 Dress
E1778,218,141.7,35,Milano Formals E1778 CL Dress
E1823,220,143,35,Milano Formals E1823 Dress
E1883 ,298,193.7,35,Milano Formals E1883 CL Dress
E1887,318,206.7,35,Milano Formals E1887 CL Dress
E1977,388,252.2,35,Milano Formals E1977 Dress
E1978,388,252.2,35,Milano Formals E1978 Dress
E1980,148,96.2,35,Milano Formals E1980 Dress
E1986,248,161.2,35,Milano Formals E1986 Dress
E1989,298,193.7,35,Milano Formals E1989 Dress
E1991,448,291.2,35,Milano Formals E1991 Dress
E2008,298,193.7,35,Milano Formals E2008 Dress
E2010,348,226.2,35,Milano Formals E2010 Dress
E2016,298,193.7,35,Milano Formals E2016 Dress
E2017,298,193.7,35,Milano Formals E2017 Dress
E2018,248,161.2,35,Milano Formals E2018 Dress
E2019,388,252.2,35,Milano Formals E2019 Dress
E2025,248,161.2,35,Milano Formals E2025 Dress
E2025,248,161.2,35,Milano Formals E2025 CL Dress
E2028,148,96.2,35,Milano Formals E2028 Dress
E2031,298,193.7,35,Milano Formals E2031 Dress
E2037,248,161.2,35,Milano Formals E2037 Dress
E2040,148,96.2,35,Milano Formals E2040 Dress
E2043,248,161.2,35,Milano Formals E2043 Dress
E2045,298,193.7,35,Milano Formals E2045 Dress
E2046,420,273,35,Milano Formals E2046 Dress
E2047,398,258.7,35,Milano Formals E2047 Dress
E2048,248,161.2,35,Milano Formals E2048 Dress
E2049,298,193.7,35,Milano Formals E2049 Dress
E2050,248,161.2,35,Milano Formals E2050 Dress
E2057,298,193.7,35,Milano Formals E2057 Dress
E2059,198,128.7,35,Milano Formals E2059 Dress
E2061,198,128.7,35,Milano Formals E2061 Dress
E2063,148,96.2,35,Milano Formals E2063 Dress
E2065,198,128.7,35,Milano Formals E2065 Dress
E2069,328,213.2,35,Milano Formals E2069 Dress
E2070,348,226.2,35,Milano Formals E2070 Dress
E2074,348,226.2,35,Milano Formals E2074 Dress
E2078,248,161.2,35,Milano Formals E2078 Dress
E2081,128,83.2,35,Milano Formals E2081 Dress
E2082,178,115.7,35,Milano Formals E2082 Dress
E2083,178,115.7,35,Milano Formals E2083 Dress
E2084,148,96.2,35,Milano Formals E2084 Dress
