Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Box (product.metafields.custom.box),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Test format (product.metafields.shopify.test-format),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
e2786,Enchanting Prom Short Dress E2786,"<p>Capture attention and embrace elegance with this vibrant dress ideal for a night of celebration. Perfect for events ranging from prom nights to cocktail parties, its beautiful silhouette highlights the waist while offering a flattering fit. The design accentuates curves and provides freedom of movement, making it a standout choice for elegant gatherings. Pair with stylish accessories for a complete look that turns heads and makes memories at any special occasion.   </p>
<ul>
<li>Solid</li>
<li>A-Line</li>
<li>Sleeveless</li>
<li>High Neck</li>
<li>Elegant</li>
<li>Flowy Dress</li>
<li>Flattering Fit  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,short,"A-Line, Cocktail, Elegant, Flowy, Party, Prom, Sleeveless",true,Size,2.0,,Color,PURPLE,,,,,E2786_PURPLE_2,0.0,shopify,1,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2786_Purple_1.jpg?v=1722465596,1,MILANO FORMALS e2786 E2786_Purple_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2786,,,,,,,,,6.0,,,PURPLE,,,,,E2786_PURPLE_6,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,8.0,,,PURPLE,,,,,E2786_PURPLE_8,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,10.0,,,PURPLE,,,,,E2786_PURPLE_10,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,12.0,,,PURPLE,,,,,E2786_PURPLE_12,0.0,shopify,4,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,14.0,,,PURPLE,,,,,E2786_PURPLE_14,0.0,shopify,5,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,16.0,,,PURPLE,,,,,E2786_PURPLE_16,0.0,shopify,4,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,18.0,,,PURPLE,,,,,E2786_PURPLE_18,0.0,shopify,4,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2786,,,,,,,,,20.0,,,PURPLE,,,,,E2786_PURPLE_20,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2785,ElegantWedding Long Dress E2785,"<p>Envision stepping into an enchanting event, enveloped in a stunning long dress that captivates with exquisite lace and intricate details. This gorgeous gown embraces the elegance of a formal occasion, making it perfect for weddings or upscale gatherings. With its flowing silhouette, it gracefully drapes around your figure, creating a breathtaking entrance. Pair it with delicate accessories and heels for a sophisticated look that will leave a lasting impression on your special day.  </p>
<ul>
<li>Lace</li>
<li>Flowing</li>
<li>Long Sleeve</li>
<li>Gown</li>
<li>Elegant</li>
<li>Exquisite  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,long,"Elegant, Formal, Lace, Wedding, Wedding (Bridal), Wedding Guest",true,Size,4.0,,Color,GOLD,,,,,E2785_GOLD_4,0.0,shopify,1,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2785_Gold_1.jpg?v=1722465594,1,MILANO FORMALS e2785 E2785_Gold_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2785,,,,,,,,,6.0,,,GOLD,,,,,E2785_GOLD_6,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2785,,,,,,,,,8.0,,,GOLD,,,,,E2785_GOLD_8,0.0,shopify,4,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2785,,,,,,,,,12.0,,,GOLD,,,,,E2785_GOLD_12,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2785,,,,,,,,,14.0,,,GOLD,,,,,E2785_GOLD_14,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2774,Elegant Cocktail Short Dress E2774,"<p>Step into sophistication with this stunning short dress that embodies grace and charm. Perfect for sophisticated evenings or festive gatherings, it showcases a classic silhouette adorned with exquisite details. The lightweight fabric flows effortlessly, making it an ideal choice for cocktail parties or upscale events. Pair it with stylish heels and accessories to elevate your look, ensuring you turn heads wherever you go, from chic soirees to romantic date nights.  </p>
<ul>
<li>Solid</li>
<li>Flowy Dress</li>
<li>Sleeveless</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Light Fabric</li>
<li>Classic Silhouette  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,short,"Cocktail, Date Night, Elegant, Flowy, Party, Short",true,Size,2.0,,Color,BLACK,,,,,E2774_BLACK_2,0.0,shopify,7,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2774_Black_1.jpg?v=1722465590,1,MILANO FORMALS e2774 E2774_Black_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2774,,,,,,,,,6.0,,,BLACK,,,,,E2774_BLACK_6,0.0,shopify,7,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2774,,,,,,,,,8.0,,,BLACK,,,,,E2774_BLACK_8,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2774,,,,,,,,,10.0,,,BLACK,,,,,E2774_BLACK_10,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2774,,,,,,,,,18.0,,,IVORY,,,,,E2774_IVORY_18,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2773,Charming Wedding Long Dress E2773,"<p>Envision stepping into a fairy tale with this captivating long dress, designed to make a statement at any special occasion. Crafted with exquisite attention to detail, this piece is ideal for weddings, formal gatherings, or elegant parties. Its flows gracefully with every movement, ensuring that you'll be the center of attention. Embrace the romance of the evening or celebrate milestones in style as this dress complements your every moment, leaving a lasting impression.  </p>
<ul>
<li>Solid</li>
<li>A-Line</li>
<li>Sleeveless</li>
<li>Flowy Dress</li>
<li>High Slit Gown  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,long,"A-Line, Formal, Long, Party, Wedding, Wedding (Bridal)",true,Size,2.0,,Color,LIGHT GOLD,,,,,E2773_LIGHT GOLD_2,0.0,shopify,2,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2773_Light-Gold_1.jpg?v=1722465587,1,MILANO FORMALS e2773 E2773_Light-Gold_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2773,,,,,,,,,4.0,,,LIGHT GOLD,,,,,E2773_LIGHT GOLD_4,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2773,,,,,,,,,6.0,,,LIGHT GOLD,,,,,E2773_LIGHT GOLD_6,0.0,shopify,2,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2773,,,,,,,,,10.0,,,LIGHT GOLD,,,,,E2773_LIGHT GOLD_10,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2773,,,,,,,,,12.0,,,LIGHT GOLD,,,,,E2773_LIGHT GOLD_12,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2773,,,,,,,,,16.0,,,LIGHT GOLD,,,,,E2773_LIGHT GOLD_16,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,Charming Evening Long Nightgown E2770,"<p>Elevate your wardrobe with this stunning nightgown, designed for those unforgettable evenings. This exquisite piece features luxurious fabric flowing elegantly around you, providing both comfort and style. Perfect for romantic nights in or lavish celebrations, this nightgown complements a variety of settings, making each occasion special. Whether you're hosting a cozy gathering or attending an upscale event, the details of this garment ensure you'll shine with confidence.  </p>
<ul>
<li>Lace</li>
<li>Satin</li>
<li>Flowing Dress</li>
<li>Elegant</li>
<li>Comfortable</li>
<li>Luxurious</li>
<li>Nightgown  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,long,"Formal, Lace, Long, Night, Party, Satin",true,Size,4.0,,Color,RED,,,,,E2770_RED_4,0.0,shopify,4,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2770_Red_1.jpg?v=1722465584,1,MILANO FORMALS e2770 E2770_Red_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2770,,,,,,,,,6.0,,,RED,,,,,E2770_RED_6,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,,,,,,,,,8.0,,,RED,,,,,E2770_RED_8,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,,,,,,,,,12.0,,,RED,,,,,E2770_RED_12,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,,,,,,,,,16.0,,,RED,,,,,E2770_RED_16,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,,,,,,,,,18.0,,,RED,,,,,E2770_RED_18,0.0,shopify,3,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2770,,,,,,,,,20.0,,,RED,,,,,E2770_RED_20,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
e2769,Elegant Evening Long Dress E2769,"<p>Captivate the room with this stunning long dress, perfect for creating memorable moments at formal gatherings, weddings, or elegant date nights. Its gracefully flowing silhouette enhances your figure, while the luxurious fabric drapes beautifully. Pair it with statement jewelry and heels for a complete look that radiates sophistication. This is an exceptional choice for those looking to make a lasting impression at any special occasion.  </p>
<ul>
<li>Flowing Dress</li>
<li>A-Line</li>
<li>Long Sleeve</li>
<li>Satin</li>
<li>Elegant</li>
<li>Ball Gown</li>
<li>High Slit Gown  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,long,"Elegant, Formal, Long, Night, Wedding, Wedding (Bridal)",true,Size,16.0,,Color,ROYAL,,,,,E2769_ROYAL_16,0.0,shopify,1,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2769_Royal_1.jpg?v=1722465581,1,MILANO FORMALS e2769 E2769_Royal_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
e2768,Elegant Evening Long Dress E2768,"<p>Embrace elegance with this stunning dress designed for those special occasions where sophistication is paramount. Flatter your figure with its exquisite silhouette, making it perfect for weddings, cocktail parties, or formal gatherings. The graceful flow of the fabric enhances every movement, ensuring you shine as a standout guest. Ideal for memorable nights out or romantic dates, this dress promises to be a long-lasting addition to your wardrobe, effortlessly transitioning from one occasion to the next.  </p>
<ul>
<li>Solid</li>
<li>A-Line</li>
<li>Long Sleeve</li>
<li>Flowy Dress</li>
<li>Elegant</li>
<li>High Slit Gown  </li>
</ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,long,"Elegant, Formal, Long, Party, Wedding, Wedding Guest",true,Size,0.0,,Color,NAVY,,,,,E2768_NAVY_0,0.0,shopify,1,deny,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/E2768_Navy_1.jpg?v=1722465578,1,MILANO FORMALS e2768 E2768_Navy_1.png,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
