BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
1,570,MILANO,CORAL,8XL,12,,3033,,,,,,,40
1,570,MILANO,CORAL,7XL,11,,3033,,,,,,,38
1,570,MILANO,CORAL,6XL,25,,3033,,,,,,,34
1,570,MILANO,CORAL,5XL,13,,3033,,,,,,,30
2,570,MILANO,NAVY,S,7,,3033,,,,,,,8
2,570,MILANO,BLACK,8XL,1,,3033,,,,,,,40
2,G1116,MILANO FORMALS,LILAC,8XL,12,,3033,,,,,,,40
2,570,MILANO,NAVY,8XL,1,,3033,,,,,,,40
2,570,MILANO,BLACK,7XL,1,,3033,,,,,,,38
2,570,MILANO,NAVY,7XL,2,,3033,,,,,,,38
2,570,MILANO,NAVY,6XL,6,,3033,,,,,,,34
2,570,MILANO,NAVY,5XL,4,,3033,,,,,,,30
2,570,MILANO,NAVY,2XL,3,,3033,,,,,,,18
2,570,MILANO,NAVY,M,14,,3033,,,,,,,10
3,570,MILANO,LILAC,S,1,,3033,,,,,,,8
3,570,MILANO,LILAC,8XL,22,,3033,,,,,,,40
3,570,MILANO,LILAC,7XL,2,,3033,,,,,,,38
3,G1116,MILANO FORMALS,LILAC,7XL,3,,3033,,,,,,,38
3,570,MILANO,LILAC,6XL,3,,3033,,,,,,,34
3,570,MILANO,LILAC,L,1,,3033,,,,,,,12
3,G1116,MILANO FORMALS,LILAC,20,1,,3033,,,,,,,20
3,G1116,MILANO FORMALS,LILAC,12,2,,3033,,,,,,,12
3,G1116,MILANO FORMALS,LILAC,6,3,,3033,,,,,,,6
4,1116,,CORAL,8XL,7,,3033,,,,,,,40
4,1116,,CORAL,7XL,5,,3033,,,,,,,38
4,1116,,CORAL,6XL,3,,3033,,,,,,,34
4,E1852,,BURGUNDY,6,2,,3033,,,,,,,6
4,E1799,,FUCHSIA,6,2,,3033,,,,,,,6
4,E1852,,PINK,6,3,,3033,,,,,,,6
5,570,MILANO,NAVY,S,1,,3033,,,,,,,8
5,570,MILANO,NAVY,8XL,6,,3033,,,,,,,40
5,570,MILANO,NAVY,7XL,6,,3033,,,,,,,38
5,570,MILANO,NAVY,6XL,26,,3033,,,,,,,34
5,570,MILANO,NAVY,5XL,7,,3033,,,,,,,30
5,570,MILANO,NAVY,4XL,1,,3033,,,,,,,26
5,570,MILANO,NAVY,2XL,4,,3033,,,,,,,18
5,570,MILANO,NAVY,M,1,,3033,,,,,,,10
6,E1421,,CORAL,24,2,,3033,,,,,,,24
6,E1421,,CORAL,20,2,,3033,,,,,,,20
