BOX NUMBER,Code,Brand,Color,SIZE,Size,Quantity,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
901.0,4386,,BLACK,12,,1,,,,,,,,,,,
901.0,4386,,BLACK,16,,3,,,,,,,,,,,
913.0,4386,,BLACK,L,,2,,,,,,,,,,,
906.0,42113,,APRICOT,XL,,2,,,,,,,,,,,
906.0,42113,,APRICOT,L,,3,,,,,,,,,,,
910.0,42113,,PINK,S,,1,,,,,,,,,,,
910.0,42113,,PINK,M,,1,,,,,,,,,,,
849.0,4386,MILANO FORMALS,BLACK,XS,XS,1,3240.0,,4386_BLACK_XS,,,,,,,4386,4386_BLACK
722.0,AA9257,ANDY ANAND COUTURE,WHITE-IVORY,,,1,3733.0,,AA9257_WHITE-IVORY,,,,,,,BNV0742,AA9257_WHITE-IVORY
916.0,AA9307,,IVORY,4,,1,,,,,,,,,,,
917.0,AA9307,,WHITE,12,,3,,,,,,,,,,,
917.0,AA9307,,WHITE,8,,2,,,,,,,,,,,
917.0,AA9307,,WHITE,10,,1,,,,,,,,,,,
918.0,AA9307,,WHITE,22,,2,,,,,,,,,,,
916.0,AA9312,,IVORY,4,,1,,,,,,,,,,,
916.0,AA9312,,IVORY,8,,1,,,,,,,,,,,
479.0,AA9318,ANDY ANAND COUTURE,,6,6,1,3033.0,,AA9318_6,,,,,,,BNV0681,AA9318_
39.0,AA9326,ANDY ANAND COUTURE,,4,4,1,3033.0,,AA9326_4,,499.0,,,,,BNV0673,AA9326_
914.0,B8320,,ORANGE,XL,,1,,,,,,,,,,,
915.0,B8401,,SKYBLUE,M,,1,,,,,,,,,,,
915.0,B8401,,SKYBLUE,S,,1,,,,,,,,,,,
914.0,B8472,,SAGE,16,,1,,,,,,,,,,,
914.0,B8486,,BLACKFUCHSIA,XL,,1,,,,,,,,,,,
932.0,B8486,,BLOCK-LILAC,M,,1,,,,,,,,,,,
932.0,B8486,,BLOCK-LILAC,S,,1,,,,,,,,,,,
903.0,B8506,,PINK,L,,1,,,,,,,,,,,
903.0,B8506,,PINK,XL,,1,,,,,,,,,,,
913.0,B8621,,BLACK-SKYBLUE,XL,,1,,,,,,,,,,,
914.0,B8621,,BLACK-LILAC,3XL,,1,,,,,,,,,,,
912.0,B8622,,LILAC,XL,,1,,,,,,,,,,,
914.0,B8660,,MELON,2XL,,1,,,,,,,,,,,
931.0,B8660,,MELON,XL,,1,,,,,,,,,,,
914.0,B8661,,ORANGE,S,,1,,,,,,,,,,,
914.0,B8661,,ORANGE,XL,,1,,,,,,,,,,,
