Code,Color,Size,Brand,Quantity,Category,Price
42113,APRICOT,12,MILANO FORMALS,3,,
42113,APRICOT,14,MILANO FORMALS,2,,
42113,PINK,8,MILANO FORMALS,1,,
42113,PINK,10,MILANO FORMALS,1,,
4386,BLACK,12,MILANO FORMALS,2,,
4386,BLACK,16,MILANO FORMALS,3,,
88468,BLACK,8,MILANO FORMALS,10,,
88468,BLACK,10,MILANO FORMALS,11,,
AA219,IVORY,6,ANDY ANAND COUTURE,2,,173.0
AA219,IVORY,8,ANDY ANAND COUTURE,4,,173.0
AA219,IVORY,12,ANDY ANAND COUTURE,1,,173.0
AA219,WHITE,4,ANDY ANAND COUTURE,2,,173.0
AA219,WHITE,6,ANDY ANAND COUTURE,3,,173.0
AA219,WHITE,8,ANDY ANAND COUTURE,2,,173.0
AA219,WHITE,9,ANDY ANAND COUTURE,1,,173.0
AA219,WHITE,12,ANDY ANAND COUTURE,1,,173.0
AA221,WHITE,6,ANDY ANAND COUTURE,1,,173.0
AA221,WHITE,8,ANDY ANAND COUTURE,1,,173.0
AA221,WHITE,10,ANDY ANAND COUTURE,1,,173.0
AA222,IVORY,4,ANDY ANAND COUTURE,4,,173.0
AA222,IVORY,6,ANDY ANAND COUTURE,3,,173.0
AA222,IVORY,8,ANDY ANAND COUTURE,1,,173.0
AA222,WHITE,4,ANDY ANAND COUTURE,6,,173.0
AA222,WHITE,6,ANDY ANAND COUTURE,6,,173.0
AA222,WHITE,8,ANDY ANAND COUTURE,2,,173.0
AA222,WHITE,10,ANDY ANAND COUTURE,1,,173.0
AA222,WHITE/IVORY,2,ANDY ANAND COUTURE,1,,173.0
AA226,WHITE,4,ANDY ANAND COUTURE,1,,310.0
AA229,WHITE/NUDE,6,ANDY ANAND COUTURE,1,,
AA233,WHITE/IVORY,14,ANDY ANAND COUTURE,1,,
AA9254,IVORY,6,ANDY ANAND COUTURE,6,,348.0
AA9254,IVORY,8,ANDY ANAND COUTURE,6,,348.0
AA9254,IVORY,12,ANDY ANAND COUTURE,1,,348.0
AA9254,WHITE,6,ANDY ANAND COUTURE,4,,348.0
AA9254,WHITE,8,ANDY ANAND COUTURE,6,,348.0
AA9254,WHITE,10,ANDY ANAND COUTURE,4,,348.0
AA9254,WHITE,12,ANDY ANAND COUTURE,2,,348.0
AA9256,IVORY,4,ANDY ANAND COUTURE,1,,723.0
AA9256,IVORY,6,ANDY ANAND COUTURE,4,,723.0
AA9256,IVORY,8,ANDY ANAND COUTURE,3,,723.0
AA9256,IVORY,10,ANDY ANAND COUTURE,3,,723.0
AA9256,IVORY,12,ANDY ANAND COUTURE,5,,723.0
AA9256,IVORY,14,ANDY ANAND COUTURE,4,,723.0
AA9256,IVORY,18,ANDY ANAND COUTURE,1,,723.0
AA9256,WHITE,10,ANDY ANAND COUTURE,4,,723.0
AA9256,WHITE,12,ANDY ANAND COUTURE,4,,723.0
AA9256,WHITE,14,ANDY ANAND COUTURE,3,,723.0
AA9256,WHITE,26,ANDY ANAND COUTURE,1,,723.0
AA9257,IVORY,4,ANDY ANAND COUTURE,1,,723.0
AA9257,IVORY,6,ANDY ANAND COUTURE,1,,723.0
AA9257,IVORY,8,ANDY ANAND COUTURE,1,,723.0
AA9257,IVORY,10,ANDY ANAND COUTURE,1,,723.0
AA9257,IVORY,12,ANDY ANAND COUTURE,4,,723.0
AA9257,IVORY,14,ANDY ANAND COUTURE,2,,723.0
AA9257,IVORY,16,ANDY ANAND COUTURE,1,,723.0
AA9257,WHITE,6,ANDY ANAND COUTURE,3,,723.0
AA9257,WHITE,8,ANDY ANAND COUTURE,4,,723.0
AA9257,WHITE,10,ANDY ANAND COUTURE,6,,723.0
AA9257,WHITE,12,ANDY ANAND COUTURE,6,,723.0
AA9257,WHITE,16,ANDY ANAND COUTURE,2,,723.0
AA9270,APPLE RED,12,ANDY ANAND COUTURE,1,,248.0
AA9270,BURGUNDY,6,ANDY ANAND COUTURE,2,,248.0
AA9270,IVORY,12,ANDY ANAND COUTURE,1,,248.0
AA9270,LAVENDER,6,ANDY ANAND COUTURE,1,,248.0
AA9270,LAVENDER,8,ANDY ANAND COUTURE,1,,248.0
AA9270,LAVENDER,12,ANDY ANAND COUTURE,5,,248.0
AA9270,LAVENDER,14,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE,2,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE,6,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE,12,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE,18,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE BURGUNDY,6,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE BURGUNDY,14,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE NAVY,12,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE NAVY,22,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/BURGUNDY,0,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE/BURGUNDY,6,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/BURGUNDY,8,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/BURGUNDY,12,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE/BURGUNDY,14,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/BURGUNDY,18,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE/IVORY,6,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/IVORY,8,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/IVORY,12,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/IVORY,16,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE/IVORY,24,ANDY ANAND COUTURE,2,,248.0
AA9270,WHITE/NAVY,6,ANDY ANAND COUTURE,4,,248.0
AA9270,WHITE/NAVY,8,ANDY ANAND COUTURE,7,,248.0
AA9270,WHITE/NAVY,9,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/NAVY,10,ANDY ANAND COUTURE,7,,248.0
AA9270,WHITE/NAVY,12,ANDY ANAND COUTURE,3,,248.0
AA9270,WHITE/NAVY,14,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/NAVY,16,ANDY ANAND COUTURE,4,,248.0
AA9270,WHITE/NAVY,22,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/NAVY,24,ANDY ANAND COUTURE,3,,248.0
AA9270,WHITE/NAVY,26,ANDY ANAND COUTURE,1,,248.0
AA9270,WHITE/RED,6,ANDY ANAND COUTURE,6,,248.0
AA9271,IVORY,6,ANDY ANAND COUTURE,2,,
AA9271,IVORY,8,ANDY ANAND COUTURE,2,,
AA9271,IVORY,12,ANDY ANAND COUTURE,4,,
AA9271,IVORY/CHAMPAGNE,12,ANDY ANAND COUTURE,1,,
AA9271,WHITE,6,ANDY ANAND COUTURE,1,,
AA9271,WHITE,8,ANDY ANAND COUTURE,5,,
AA9271,WHITE,10,ANDY ANAND COUTURE,2,,
AA9298,WHITE,6,ANDY ANAND COUTURE,1,,823.0
AA9298,WHITE/IVORY,6,ANDY ANAND COUTURE,1,,823.0
AA9301,WHITE,4,ANDY ANAND COUTURE,3,,973.0
