Code,Color,Size,Brand,Quantity,Category,Description,Price,Collection
42113,APRICOT,12,MILANO FORMALS,3,,,299.0,
42113,APRICOT,14,MILANO FORMALS,2,,,299.0,
42113,PINK,8,MILANO FORMALS,1,,,299.0,
42113,PINK,10,MILANO FORMALS,1,,,299.0,
4386,BLACK,12,MILANO FORMALS,2,,,299.0,
4386,BLACK,16,MILANO FORMALS,3,,,299.0,
AA222,IVORY,4,ANDY ANAND COUTURE,4,,,479.0,
AA222,IVORY,6,ANDY ANAND COUTURE,3,,,479.0,
AA222,IVORY,8,ANDY ANAND COUTURE,1,,,479.0,
AA222,WHITE,4,ANDY ANAND COUTURE,6,,,479.0,
AA222,WHITE,6,ANDY ANAND COUTURE,6,,,479.0,
AA222,WHITE,8,ANDY ANAND COUTURE,2,,,479.0,
AA222,WHITE,10,ANDY ANAND COUTURE,1,,,479.0,
AA222,WHITE/IVORY,2,ANDY ANAND COUTURE,1,,,479.0,
AA9254,IVORY,6,ANDY ANAND COUTURE,6,,,299.0,
AA9254,IVORY,8,ANDY ANAND COUTURE,6,,,299.0,
AA9254,IVORY,12,ANDY ANAND COUTURE,1,,,299.0,
AA9254,WHITE,6,ANDY ANAND COUTURE,4,,,299.0,
AA9254,WHITE,8,ANDY ANAND COUTURE,6,,,299.0,
AA9254,WHITE,10,ANDY ANAND COUTURE,4,,,299.0,
AA9254,WHITE,12,ANDY ANAND COUTURE,2,,,299.0,
AA9256,IVORY,4,ANDY ANAND COUTURE,1,,,299.0,
AA9256,IVORY,6,ANDY ANAND COUTURE,4,,,299.0,
AA9256,IVORY,8,ANDY ANAND COUTURE,3,,,299.0,
AA9256,IVORY,10,ANDY ANAND COUTURE,3,,,299.0,
AA9256,IVORY,12,ANDY ANAND COUTURE,5,,,299.0,
AA9256,IVORY,14,ANDY ANAND COUTURE,4,,,299.0,
AA9256,IVORY,18,ANDY ANAND COUTURE,1,,,299.0,
AA9256,WHITE,10,ANDY ANAND COUTURE,4,,,299.0,
AA9256,WHITE,12,ANDY ANAND COUTURE,4,,,299.0,
AA9256,WHITE,14,ANDY ANAND COUTURE,3,,,299.0,
AA9256,WHITE,26,ANDY ANAND COUTURE,1,,,299.0,
AA9257,IVORY,4,ANDY ANAND COUTURE,1,,,599.0,
