Code,Sum of QUANTITY,Consumer Price,PlusSize Price,WholeSale Price,Wholesale Plus Price,Description
F570,2940,99,129,,,
F1116,699,249,279,,,
B8865,249,199,229,,,
B8998,233,149,179,,,
E1270,181,169,199,,,
E1412,179,,,,,
E1582,173,169,199,,,
E1168,166,169,199,,,
B8486,161,,,,,
E1264,146,149,179,,,
E1696,140,169,199,,,
E1295,140,169,199,,,
E1799,125,169,199,,,
E1531,120,169,199,,,
E1013,115,169,199,,,
E1260,115,169,199,,,
E1729,107,169,199,,,
E1657,106,199,229,,,
E1463,105,110,140,,,
E1024,105,,,,,
B9000,105,,,,,
E1379,103,129,159,,,
B8608,101,99,129,,,
E1119,101,,,,,
E1340,101,169,199,,,
E1520,94,149,179,,,
E1502,88,169,199,,,
E1730,87,149,179,,,
E1391,86,129,159,,,
E1420,85,169,199,,,
E1796,82,169,199,,,
E1421,82,169,199,,,This Bridesmaid dress has a Corset closure. The main fabric is Chiffon
E1663,81,149,179,,,
AA9270,76,,,,,
B8808,69,,,,,
E1544,66,149,179,,,"This short, rouched, strapless  dress has a Zipper closure. The main fabric is Chiffon. "
E1387,66,169,199,,,Strapless Satin floor length bridesmaid dress with belt.
E1371,63,149,179,,,"Short, Strapless, Two-tone dress "
E1068,61,,,,,
E1285,58,99,129,,,Flirty Mid-length strapless taffeta dress with rose accent
E2107,58,229,259,,,"2107. The dress features a sleeveless bead embellished halter neckline with cutouts throughout the bodice and at the back. The smooth figure flattering skirt flows towards the floor and finalizes in a full length hem. With Milano Formal dress, youll definitely make a statement in every occasion. Style: milano_E2107 Closure: Zipper Details: Bead embellishments, Sleeveless, Cutouts bodice Fabric: Stretch Satin Length: Long Neckline: Halter Waistline: Natural Silhouette: Sheath Category: Long Dress Available Colors: Purple, Blue Sizes: 00  18 This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details.."
E1032,56,,,,,
E1312,55,,,,,
E2106,55,249,279,,,Stand out in any crowd wearing this Milano Formals E2106 short dress. This dress has one shoulder strap and features an embellished waistline and shoulder. Sheer embellishments continue to scroll at the back for an illusion effect. The dress has tulle overlay at the full length skirt.
E1581,55,149,179,,,"Walk like a goddess in Milano Formals E1581. A one-shoulder party dress fashioned in asymmetrical pleats of chiffon layers creating a tightly fitting bodice and well defined hipline complimenting the fitted mini-skirt. Defining the waistline is a satin waistband with floral accents and embellishment. Perfect for homecoming, date-night or junior-prom.�"
E1911,53,,,,,
E1672,53,99,129,,,Sequin Strapless Party Prom Dress
E1573,53,149,179,,,"Short, Strapless, sweetheart neckline pleated chiffon dress"
E1118,52,,,,,
B8749,52,,,,,
E1089,51,,,,,
E1546,47,149,179,,,"Be at your best on that special affair in Milano Formals E1546. This short strapless dress features an elegant sweetheart neckline and a wide waist band on finely ruched textured chiffon fabric. The tiered skirt is flaring out with a sheer hemline. The mid-open back with corset closure completes the look of this stunning creation. This Milano Formals is best for wedding guest, graduation dinners, or anytime you want to look your best"
E1822,47,189,219,,,Show off your sweet side in this dress by Milano Formals E1822. This elegant long gown is richly decorated in lace appliques. Features an illusion sheer over the sweetheart neckline. The back is styled with embellished lace that zips up with satin-covered buttons running down the back of the bodice. The fitted skirt tapers through the thighs then flares out to a full hem with small train for an elegant look. This Milano dress is sure to make you the darling of the party
BD2006/66,46,,,,,
E2253,45,189,219,,,"Capture everyones attention in this little number by Milano Formals E2253. This dress features a sleeveless, halter neckline with bodice beautifully decked with patterned beadwork. The bodice has a form fitting silhouette while the skirt slims through the thighs heightening your curves. Show off this fabulous Milano Formals ensemble and youre sure to make a statement."
BD2006/200,44,,,,,
E1127,43,,,,,
AA9315,43,,,,,
E2599,41,,,,,
E2227,39,189,219,,,Show off your classy style when you wear this stunning dress by Milano Formals E2227. This eye popping dress showcases a sweetheart neckline with tank style straps following into a sensual open back with a center zipper for back closure. Featuring a fitted sheath silhouette showing off your natural curves and fully embellished in an exquisite stripe like pattern adorned with multi colored beading. This Milano Formals dress definitely parades the elegant and classy style.
BD2006/344,39,,,,,
E2601,39,,,,,
E2545,38,,,,,
BD2006/741,38,,,,,
E2027,37,199,229,,,"Preen and sashay your way to the top with this gorgeous dress from Milano Formals E2027. Displaying a pop of surprise with its skin toned mesh midriff panel, this piece displays a bateau neckline, closed back and a daintily beaded bodice. Lining its waist is a band of beautifully sewn beadwork, the skirt then flows into a swirly mini hem perfect in showcasing those lovely stilettoes."
E1194,37,,,,,
E1931,37,,,,,
E1942,37,,,,,
E1908,36,149,179,,,"A shimmering sky blue evening dress with a striking sheer neckline and back, scattered from top to bottom with multicolored jewels for a hint of glamour. This classic pastel blue evening dress is figure-hugging and floor-length, features a practical back zip closure. Complete the look with a pair of ocean blue heels."
E1439,36,99,129,,,Simple and perfect strapless short dress in mini-sweetheart neckline. Side pleats on the bodice is adorned by floral embelishment
BD2006/24,35,,,,,
E2553,35,,,,,
AA9308,35,,,,,
E2171,34,299,329,,,
E1334,34,199,229,,,
AA9309,34,,,,,
E2550,33,,,,,
E2557,33,,,,,
E2088,33,99,129,,,Grace every event confidently with this stylish laced piece by Milano Formals E2088. This lustrous number boasts of a bateau illusion over a sweetheart neckline and a gorgeously-fitted satin skirt. The closed back shows the same lace intricacy mirrored on its sculpted bodice. Hewn on its bodice is a stunning display of ornate lace mesh design in scarlet. A classy satin ribbon band draws the eyes to the cinched waist which crowns the entire chic look
AA9256,33,,,,,
E2602,32,,,,,
E2252,32,299,329,,,"The dress flaunts a sleeveless, illusion jewel neckline. The bodice is richly decorated with amazing bead work. This formal fitted dress is suitable for any occasion. With an amazing illusion back really makes this dress pop.�"
E2081,31,169,199,,,This stunner showcases a modest bateau neckline that transitions to a sexy V-shaped open back. Highlighting its silhouette are the creatively ruched detail that accentuates the waistline and the seamless tapering of its satin fabric to form a lovely fitted shape.
E2578,31,,,,,
B8691,31,,,,,
E2281,31,149,179,,,The dress showcases a strapless crop top with a sweetheart neckline and a straight across back with a scallop trim line. It is matched with a lovely short A-line skirt that boasts a complex contrasting pattern and a belt that will cinch your waist
E1381,30,149,179,,,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt.
AA9257,30,,,,,
E2786,29,,,,,
E2554,29,,,,,
E2322,29,349,379,,,"This enchanting gown is designed with cap sleeves, and a scoop neckline. The bodice is embellished with glittering beads and sequins and has a zipper closure. Finishing the look is a floor length ballgown skirt for that princess-like effect."
E1852,29,189,219,,,
E2241,28,595,625,,,"Tailored in an impeccable floral striped lace on a sculpted bodice, this beauty is fashioned in a high halter neckline paired with a sexy racerback. Cinched around the waist with a slender band, the sheath skirt is accented with a high slit as it streams alluringly down to a full-length hemline. A sheer ornate lace serves as an overskirt that pleats down to hover just above the floor.�"
E2708,28,,,,,
AA9317,27,,,,,
E1762,27,,,,,
B8588,26,,,,,
E2114,26,look up out of style,,,,
E2225,26,189,219,,,"Great for a pear body type, the bodice of this gorgeous piece is crafted in a vibrant Mikado fabric. Elegantly styled with a V-neckline, this stunner reveals cut-in shoulder straps and a surplice-style bodice. The front bare midriff provides an illusion of a two-piece party dress. The full back unveils a sleek sheen as a an invisible zipper provides this beauty with closure. The graphic-printed A-line silhouette completes with a cocktail length hem."
AA9254,26,,,,,
E2540,26,,,,,
E2255,26,249,279,,,This short dress showcases a halter neckline with a sheer deep v insert. The sparkling bodice showcases intricately sparkling stones. Eye catching side cut outs lead into the stunning open back with a zipper for closure and finished off with its lovely chiffon skirt flowing out from the natural waistline.
E2126,26,,,,,
E2560,25,,,,,
E1676,25,399,429,,,Mult Colored Ballgown with embellished strapless corset boned bodice
E2752,25,,,,,
E1071,25,249,279,,,"Sweetheart neckline pleated bust and adorned with a wide satin waistband and flowing skirt. Color : Fuschia, Lilac, Peach, Pink, Truffle Size : 4-16 Fabric : Chiffon Closure : Zipper�"
E2245,25,199,229,,,This dress flaunts a plunging v neckline and thick straps that lead to a sexy deep V-back. This dress has a form fitting silhouette that will show off your curves with contrasting lining making it fashion perfection. This Milano Formals creation is tailored to fit your curves.
E2547,25,,,,,
E1891,25,,,,,
E2526,24,,,,,
BD2006/502,24,,,,,
E2590,24,,,,,
B8661,24,,,,,
E2496,24,,,,,
AA222,24,,,,,
E1470,24,225,255,,,"Stunning fully bedazzled cocktail dress with strapless, sweetheart neckline perfect for any special occasion.  "
E1605,24,,,,,
E1918,24,299,329,,,
E2136,24,199,229,,,"Features a bateau neckline with capped sleeves, the ruched bodice is accentuated by a chic belt with the back in a low v-shaped cut. The form-fitting skirt flourishes to the floor in full length with a side thigh-high slit"
E1436,23,99,129,,,"Sweetheart strapless short dress accented with a brooch like embellishment on waist. This dress features a right hand secret pocket. Color: Coral, Pool, V-Lilac�"
E2701,23,,,,,
