Code,Price,Description,Photo,Handle,Uploaded,OWNER,,,,
E1032,189,"Fun, Flirty and bold V-neck style dress. This dress has a roached waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,NV8967,YES,,,,,
E2600,199,"This elegant red cocktail dress combines simplicity with striking sophistication. The deep V neckline adds a bold yet refined touch, while the structured bodice and flared A-line skirt create a flattering silhouette that moves gracefully. Made from high-quality satin fabric, the dress offers a subtle sheen, making it perfect for cocktail parties, date nights, or any special occasion where you want to make a lasting impression. The sleeveless design enhances its timeless appeal, ensuring versatility and effortless style.",https://ecomm-milano-images.s3.amazonaws.com/E2600_RED_1.jpg,NV7399,YES,PRASHANT,,,,
E1264,149,"Simple yet elegant strapless chiffon dress, complete with a geometrical waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1264_Black_1.jpg,NV8735,YES,,,,,
E1285,99,"Simple yet elegant strapless taffeta dress, complete with a floral waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1285_Cafe_1.jpg,NV8714,YES,,,,,
E2599,249,Red cocktail dress with plunging neckline! Beautiful red and white encrusted gems sewn onto see-through mesh highlighting the waistline. Perfect for any special occasion.,#N/A,NV7400,NO,CAILIN,,,,
E2557,249,Elegant halter style dress with side cutouts. The front of the bodice is encrusted with gems to give it that regal look. The front connects by mesh fabric to give a barely there illusion. This dress also has pockets trimmed with matching gems.,#N/A,NV7442,NO,CAILIN,,,,
E1354,149,Strapless chiffon overlay dress with beaded bodice. The cut-outs expose a fully beaded peek-a-boo accent!,https://ecomm-milano-images.s3.amazonaws.com/E1354_Lilac_1.jpg,NV8645,YES,,,,,
E2524,225,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure,#N/A,NV7475,NO,CAILIN,,,,
E1381,149,"Strapless, Mermaid cocktail dress with black accenting",https://ecomm-milano-images.s3.amazonaws.com/E1381_Purple_1.jpg,NV8618,YES,,,,,
E2227,158,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..,https://ecomm-milano-images.s3.amazonaws.com/E2227_Fuschia_1.jpg,NV7772,YES,,,,,
E1911,349,"This captivating dress combines modern elegance with intricate detailing, perfect for any upscale event. The deep space blue lace overlay is adorned with delicate beading, creating a sparkling effect that catches the light beautifully. The sheer mesh sleeves and back add a touch of allure while maintaining a sophisticated appeal. Designed to contour the body, this dress highlights your silhouette with a refined, flattering fit.",https://ecomm-milano-images.s3.amazonaws.com/E1911_SPACE_BLUE_1.jpg,NV8088,NO,PRASHANT,,,,
E1424,299,Fully bedazzled strapless bodice! Turn heads with this multi-layered skirt dress.,https://ecomm-milano-images.s3.amazonaws.com/E1424_Teal_1.jpg,NV8575,YES,,,,,
E1891,249,"This captivating dress features a deep purple hue with an A-line silhouette, perfect for making a bold yet elegant statement. The delicate floral embellishments around the bodice and waist, combined with the sheer illusion neckline and back, create a romantic and refined look. The full skirt adds a playful, voluminous touch, while the intricate detailing ensures a luxurious feel. Ideal for cocktail parties or formal gatherings, this dress effortlessly balances sophistication with a touch of modern glamour.",https://ecomm-milano-images.s3.amazonaws.com/E1891_PURPLE_1.jpg,NV8108,NO,PRASHANT,,,,
E1875,175,"Beautiful take on ""The little black dress"". Fully beaded halter style bust and form fitting skirt makes this the perfect dress for any occasion!",#N/A,NV8124,NO,CAILIN,,,,
E1452,199,Stunning plum roached cocktail dress with asymmetrical design to show off your curves. The back of the dress is mostly see through mesh that connects to the beaded asymmetrical belt!,https://ecomm-milano-images.s3.amazonaws.com/E1452_Lilac_1.jpg,NV8547,YES,,,,,
E1463,99,Playful taffeta dress with V-neckline showcasing a roached waist with floral accent,https://ecomm-milano-images.s3.amazonaws.com/E1463_Coral_1.jpg,NV8536,YES,,,,,
E1829,225,Showstopping little black dress! Strapless (can be converted with clip on straps),#N/A,NV8170,NO,CAILIN,,,,
E1510,349,"Fully bedazzled, off shoulder, one sleeve dress! Beautiful detail on mesh sleeve to give that floating gem appearance! Two colors",https://ecomm-milano-images.s3.amazonaws.com/E1510_White_1.jpg,NV8489,YES,,,,,
E1520,149,Playful scoop neck chiffon dress with roached waistline to show off your curves. Two colors (burnt orange and Sangria),https://ecomm-milano-images.s3.amazonaws.com/E1520_BurntOrange_1.jpg,NV8479,YES,,,,,
E1544,149,Fully roached strapless cocktail dress with belted accent! Two colors (Black and Red),https://ecomm-milano-images.s3.amazonaws.com/E1544_Black_1.jpg,NV8455,YES,,,,,
E1546,149,"Flirty strapless dress with roached bodice and multi-layered chiffon skirt. Three colors (Purple, Black, and Coral)",https://ecomm-milano-images.s3.amazonaws.com/E1546_Coral_1.jpg,NV8453,YES,,,,,
E1581,149,"One shoulder Roached cocktail dress complete with floral accent satin belt. Three colors (Black, Red, Purple).",https://ecomm-milano-images.s3.amazonaws.com/E1581_Black_1.jpg,NV8418,YES,,,,,
E1795,197,"Walk like a goddess in Milano Formals E1581. A one-shoulder party dress fashioned in asymmetrical pleats of chiffon layers creating a tightly fitting bodice and well defined hipline complimenting the fitted mini-skirt. Defining the waistline is a satin waistband with floral accents and embellishment. Perfect for homecoming, date-night or junior-prom. This Milano Formals is simply chic and adorable Style: milano_E1581 Closure: Zipper Details: One-shoulder, Asymmetric neckline, Pleated, Waistband with floral embellishment Fabric: Chiffon Length: Short Neckline: Asymmetric Waistline: Natural Silhouette: Sheath Category: Bridesmaid Available Colors: Red, Purple, Black Sizes: 00Â– 30 This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..",https://ecomm-milano-images.s3.amazonaws.com/E1795_NAVY_1.jpg,NV8204,YES,PRASHANT,,,,
E1596,299,"Breathtaking fully bedazzled, strapless corset style bodice with tooled skirt.",https://ecomm-milano-images.s3.amazonaws.com/E1596_Purple_1.jpg,NV8403,YES,,,,,
E1663,149,"Playful and flirty V-neck dress with multi-layered chiffon skirt. Three colors (Fushia, Navy, and Purple).",https://ecomm-milano-images.s3.amazonaws.com/E1663_Fuchsia_1.jpg,NV8336,YES,,,,,
E1685,399,"This stunning strapless cocktail dress is a captivating blend of elegance and bold design. The golden base is beautifully adorned with intricate magenta floral embroidery, creating a striking contrast that highlights the figure-flattering silhouette. The delicate detailing combined with the fitted bodice exudes sophistication and grace, making it a perfect choice for evening events, upscale parties, or special occasions. The vibrant embroidery and luxurious fabric work in harmony to make this dress a standout, offering both timeless style and modern flair.",https://ecomm-milano-images.s3.amazonaws.com/E1685_FUCHSIA_1.jpg,NV8314,NO,PRASHANT,,,,
E1672,159,"Mermaid inspired! Strapless, sweetheart neckline with FULL sequin skirt.",https://ecomm-milano-images.s3.amazonaws.com/E1672_ROYAL_1.jpg,NV8327,NO,CAILIN,,,,
E1730,149,"Gorgeous one Shoulder, halter style dress complete with asymmetrical bodice and floral accent. The chiffon material creates a flowy and flirty feel. Three colors (Burnt orange, Royal, Charcoal).",https://ecomm-milano-images.s3.amazonaws.com/E1730_BurntOrange_1.jpg,NV8269,YES,,,,,
E1593,299,Mermaid inspired mint hi-lo dress! The strapless corset style bodice with lace up back is completely encrusted with gems to steal the show.,#N/A,NV8406,NO,CAILIN,,,,
E1467,399,"This glamorous strapless dress radiates luxury with its intricate gold sequins and beaded detailing. The fitted silhouette, combined with shimmering zigzag patterns, creates a dazzling effect that accentuates the figure beautifully. The subtle sparkle of the beads, paired with the elegant gold base, makes this dress perfect for upscale events, cocktail parties, or a red-carpet appearance. Its timeless design and sophisticated embellishments make it a true show-stopper, offering both grace and boldness.",https://ecomm-milano-images.s3.amazonaws.com/E1467_GOLD_1.jpg,NV8532,YES,PRASHANT,,,,
