Code,Price,Description,Photo,Handle,
E1032,189,"Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,NV8967, 
E1264,149,"Simple yet elegant strapless chiffon dress, complete with a geometical waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1264_Black_1.jpg,NV8735,
E1285,99,"Simple yet elegant strapless taffeta dress, complete with a floral waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1285_Cafe_1.jpg,NV8714,
E1312,199,Headturning strapless belted little red satin dress!,#N/A,NV8687,
E1354,149,Strapless chiffon overlay dress with beaded bodice. The cut-outs expose a fully beaded peek-a-boo accent!,https://ecomm-milano-images.s3.amazonaws.com/E1354_Lilac_1.jpg,NV8645,
E1371,99,"Girly, flowy, Strapless chiffon dress rouched to one side connecting a rose style accent. The satin belt accentuates your waist while you dance the night away. 6 Colors! (Truffle, Peacock, Watermeleon, Sage, Navy, Teal/peacock, Coral)",#N/A,NV8628,
E1381,149,"Strapless, Mermaid cocktail dress with black accenting",https://ecomm-milano-images.s3.amazonaws.com/E1381_Purple_1.jpg,NV8618,
E1424,299,Fully bedazzled strapless bodice! Turn heads with this multi-layered skirt dress.,https://ecomm-milano-images.s3.amazonaws.com/E1424_Teal_1.jpg,NV8575,
E1452,199,Stunning plum rouched cocktail dress with asymmetrical design to show off your curves. The back of the dress is mostly see through mesh that connects to the beaded assymetrical belt!,https://ecomm-milano-images.s3.amazonaws.com/E1452_Lilac_1.jpg,NV8547,
E1463,99,Playful taffeta dress with V-neckline showcasing a rouched waist with floral accent,https://ecomm-milano-images.s3.amazonaws.com/E1463_Coral_1.jpg,NV8536,
E1510,349,"Fully bedazzled, off shoulder, one sleeve dress! Beautiful detail on mesh sleeve to give that floating gem appearance! Two colors",https://ecomm-milano-images.s3.amazonaws.com/E1510_White_1.jpg,NV8489,
E1520,149,Playful scoop neck chiffon dress with rouched waistline to show off your curves. Two colors (burnt orange and Sangria),https://ecomm-milano-images.s3.amazonaws.com/E1520_BurntOrange_1.jpg,NV8479,
E1544,149,Fully rouched strapless cocktail dress with belted accent! Two colors (Black and Red),https://ecomm-milano-images.s3.amazonaws.com/E1544_Black_1.jpg,NV8455,
E1546,149,"Flirty strapless dress with rouched bodice and muli-layered chiffon skirt. Three colors (Purple, Black, and Coral)",https://ecomm-milano-images.s3.amazonaws.com/E1546_Coral_1.jpg,NV8453,
E1581,149,"One shoulder Rouched cocktail dress complete wiht floral accent satin belt. Three colors (Black, Red, Purple).",https://ecomm-milano-images.s3.amazonaws.com/E1581_Black_1.jpg,NV8418,
E1593,299,Mermiad inspired mint hi-lo dress! The strapless corset style bodice wiht lace up back is completely encrusted with gems to steal the show.,#N/A,NV8406,
E1596,299,"Breathtaking fully bedazzled, strapless corset style bodice with toole skirt.",https://ecomm-milano-images.s3.amazonaws.com/E1596_Purple_1.jpg,NV8403,
E1663,149,"Playful and flirty V-neck dress with multi-layered chiffon skirt. Three colors (Fushia, Navy, and Purple).",https://ecomm-milano-images.s3.amazonaws.com/E1663_Fuchsia_1.jpg,NV8336,
E1672,159,"Mermaid inspired! Strapless, sweetheart neckline with FULL sequin skirt.",#N/A,NV8327,
E1730,149,"Gorgeous one Shoulder, halter style dress complete with assymetrical bodice and floral accent. The chiffon material creates a flowy and flirty feel. Three colors (Burnt orange, Royal, Charcoal).",https://ecomm-milano-images.s3.amazonaws.com/E1730_BurntOrange_1.jpg,NV8269,
E1829,225,Showstopping little black dress! Strapless (can be converted with clip on straps),#N/A,NV8170,
E1875,175,"Beautiful take on ""The little black dress"". Fully beaded halter style bust and form fitting skirt makes this the perfect dress for any occasion!",#N/A,NV8124,
E1890,225,Jaw-dropping cocktail dress with fully see-through back accented with floral design. The front bodice is fully bedazzled with sequins.,https://ecomm-milano-images.s3.amazonaws.com/E1890_Black_1.jpg,NV8109,
E1983,249,Elegant short dress with mint blue overlay and scalloped bottom.,https://ecomm-milano-images.s3.amazonaws.com/E1983_Mint_1.jpg,NV8016,
E1986,299,"Steal the show with the geometrically beaded bodice with cutouts to show off your waistline. The two-tone ribbon skirt makes this the ultimate party dress. Two colors (pool, pink)",https://ecomm-milano-images.s3.amazonaws.com/E1986_Tiffany_1.jpg,NV8013,
E2075,299,This two-piece ensamble is sure to turn heads with it's fully beaded halter style top and matching beaded belt sewn onto the skirt!,https://ecomm-milano-images.s3.amazonaws.com/E2075_Midnight_1.jpg,NV7924,
E2225,225,Vibrant multicolored dress with shallow V-neckline and stunning midriff cutoutt making this a playfully elegant piece.,https://ecomm-milano-images.s3.amazonaws.com/E2225_Black-Green_3.jpg,NV7774,
E2255,299,PINK PINK PINK! BarbieCore cocktail dress! Fully beaded bodice with mesh see-through bust. Back has a cropped style design with zip enclosure. (skirt is satin),https://ecomm-milano-images.s3.amazonaws.com/E2255_Fuschia_1.jpg,NV7744,
E2291,249,Elegant and Romantic black and gold cocktail dress that gives you that hourglass shape.,https://ecomm-milano-images.s3.amazonaws.com/E2291_Black-Gold_1.jpg,NV7708,
E2513,249,Stand out with this Bollywood themed two piece set! The top is fully beaded with a sheer nude mesh fabric in front. The skirt has a matching beaded belt swen into the satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2513_Red_1.jpg,NV7486,
E2524,225,Sleeping beauty inspired dress with fully beaded bodice and zip enclosure,#N/A,NV7475,
E2527,199,Beautifully flowing strapless dress with multi-layered skirt. The bodice is sheer with a butterfly style detail that is perfect for that fairytale night,https://ecomm-milano-images.s3.amazonaws.com/E2527_Black_1.jpg,NV7472,
E2531,225,Feel like a princess in this deep V-neck style heavy satin dress with beaded trim. The fully beaded triple belt is sure to show off your waistline.,https://ecomm-milano-images.s3.amazonaws.com/E2531_Royal_1.jpg,NV7468,
E2532,225,Cute and bubbly floral print V-neck short dress. The waist has a double beaded band with sheer fabric in between to give this dress a two-piece look!,https://ecomm-milano-images.s3.amazonaws.com/E2532_Print_1.jpg,NV7467,
E2543,225,This halter style little black dress is sure to fit any occassion with its beaded waist and peek-a-boo bust.,https://ecomm-milano-images.s3.amazonaws.com/E2543_Black_1.jpg,NV7456,
E2544,249,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2544_Red_1.jpg,NV7455,
E2545,189,Fairy inspired accenting covers the bust while matching teal/green mesh covers the bodice leading into a flirty chiffon skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2545_Green_1.jpg,NV7454,
E2547,179,This cinderella inspired dress has a bold sequin design on the bodice with accenting gems.,https://ecomm-milano-images.s3.amazonaws.com/E2547_Royal_1.jpg,NV7452,
E2549,199,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,NV7450,
E2550,189,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,NV7449,
E2551,179,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,NV7448,
