Code,Price,Description,Photo,Handle,Uploaded,OWNER,,,,
E1032,189,"Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,NV8967,YES,,,,,
E1118,,,,NV8881,,PRASHANT,,,,
E1264,149,"Simple yet elegant strapless chiffon dress, complete with a geometical waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1264_Black_1.jpg,NV8735,YES,,,,,
E1285,99,"Simple yet elegant strapless taffeta dress, complete with a floral waist line accent.",https://ecomm-milano-images.s3.amazonaws.com/E1285_Cafe_1.jpg,NV8714,YES,,,,,
E1312,199,Headturning strapless belted little red satin dress!,https://ecomm-milano-images.s3.amazonaws.com/E1312_SUNSHINE_1.jpg,NV8687,NO,CAILIN,,,,
E1334,275,,#N/A,NV8665,,CAILIN,,,,
E1354,149,Strapless chiffon overlay dress with beaded bodice. The cut-outs expose a fully beaded peek-a-boo accent!,https://ecomm-milano-images.s3.amazonaws.com/E1354_Lilac_1.jpg,NV8645,YES,,,,,
E1371,99,"Girly, flowy, Strapless chiffon dress rouched to one side connecting a rose style accent. The satin belt accentuates your waist while you dance the night away. 6 Colors! (Truffle, Peacock, Watermeleon, Sage, Navy, Teal/peacock, Coral)",https://ecomm-milano-images.s3.amazonaws.com/E1371_APPLE_RED_WHITE_1.jpg,NV8628,NO,PRASHANT,,,,
E1381,149,"Strapless, Mermaid cocktail dress with black accenting",https://ecomm-milano-images.s3.amazonaws.com/E1381_Purple_1.jpg,NV8618,YES,,,,,
E1386,158,Strapless sweetheart neckline with ruched pattern bodice accented with a center flower detail embroidery and comes with a mid thigh level skirt. Color : Purple Size : 4-24 Closure : Zipper This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..,https://ecomm-milano-images.s3.amazonaws.com/E1386_PLUM_1.jpg,NV8613,,PRASHANT,,,,
E1391,156,"Elegantly styled cocktail length dress done with layers of pleaded at the bottom and a sash under the bodice Color : Lilac, Plum, Pool Size : 4-28 This special occasion dress is returnable. Please refer to our special occasion dress return policy (click here) for more details..",https://ecomm-milano-images.s3.amazonaws.com/E1391_PURPLE_1.jpg,NV8608,,PRASHANT,,,,
E1424,299,Fully bedazzled strapless bodice! Turn heads with this multi-layered skirt dress.,https://ecomm-milano-images.s3.amazonaws.com/E1424_Teal_1.jpg,NV8575,YES,,,,,E1312
