Code,Price,Handle
AA219,173,BNV780
AA221,173,BNV778
AA222,173,BNV777
AA226,310,BNV773
AA9254,348,BNV0745
AA9256,723,BNV0743
AA9257,723,BNV0742
AA9270,248,BNV0729
AA9298,823,BNV0701
AA9301,973,BNV0698
AA9304,873,BNV0695
AA9306,748,BNV0693
AA9308,873,BNV0691
AA9309,998,BNV0690
AA9310,873,BNV0689
AA9312,873,BNV0687
AA9313,873,BNV0686
AA9314,723,BNV0685
AA9315,873,BNV0684
AA9317,923,BNV0682
AA9318,873,BNV0681
AA9319,873,BNV0680
AA9320,923,BNV0679
AA9321,748,BNV0678
AA9322,748,BNV0677
AA9324,560,#N/A
AA9325,498,#N/A
AA9326,748,BNV0673
AA9327,560,BNV0672
AA9328,560,#N/A
AA9329,623,BNV0670
AA9330,873,BNV0669
AA9331,623,BNV0668
AA9332,810,BNV0667
AA9335,623,BNV0664
AA9336,323,BNV0663
B8472,236,AT1527
B8588,276,AT1411
B8608,196,AT1391
B8621,196,AT1378
B8808,158,AT1191
B8865,227,AT1134
B8896,276,AT1103
B8998,227,AT1001
B9000,198,AT0999
E1013,227,NV8986
E1022,238,NV8977
E1028,437,NV8971
E1028,437,NV8971
E1071,276,NV8928
E1168,227,NV8831
E1259,497,NV8740
E1259,497,NV8740
E1260,227,NV8739
E1264,197,NV8735
E1265,316,NV8734
E1266,145,#N/A
E1270,227,NV8729
E1275,288,NV8724
E1285,197,NV8714
E1294,388,NV8705
E1295,227,NV8704
E1319,198,NV8680
E1319,198,NV8680
E1322,178,NV8677
E1327,178,NV8672
E1327,178,NV8672
E1333,178,NV8666
E1333,178,NV8666
E1334,238,NV8665
E1336,178,NV8663
E1340,227,NV8659
E1342,158,NV8657
E1344,178,NV8655
E1344,178,NV8655
E1344,178,NV8655
E1347,158,NV8652
E1348,196,NV8651
E1354,236,NV8645
E1356,276,NV8643
E1371,156,NV8628
E1378,198,NV8621
E1379,197,NV8620
E1381,158,NV8618
E1385,156,NV8614
E1386,156,NV8613
E1387,196,NV8612
E1391,156,NV8608
E1395,269,#N/A
E1396,178,NV8603
E1412,150,NV8587
E1420,227,NV8579
E1420,227,NV8579
E1421,227,NV8578
E1422,236,NV8577
E1424,198,NV8575
E1428,198,NV8571
E1431,358,NV8568
E1436,120,NV8563
E1438,198,NV8561
E1439,196,NV8560
E1448,178,NV8551
E1452,118,NV8547
E1463,197,NV8536
E1468,292,#N/A
E1472,225,NV8527
E1498,185,#N/A
E1502,227,NV8497
E1510,198,NV8489
E1520,197,NV8479
E1531,227,NV8468
E1538,198,NV8461
E1544,197,NV8455
E1546,197,NV8453
E1573,197,NV8426
E1579,198,NV8420
E1581,197,NV8418
E1582,227,NV8417
E1619,437,#N/A
E1637,258,NV8362
E1637,258,NV8362
E1637,39,NV8362
E1657,257,NV8342
E1663,197,NV8336
E1668,322,#N/A
E1677,218,#N/A
E1683,268,NV8316
E1684,240,#N/A
E1689,198,#N/A
E1696,227,NV8303
E1715,437,NV8284
E1729,227,NV8270
E1730,197,NV8269
E1745,258,NV8254
E1767,298,NV8232
E1774,437,NV8225
E1778,218,NV8221
E1778,218,NV8221
E1796,276,NV8203
E1799,227,NV8200
E1811,437,#N/A
E1822,276,NV8177
E1824,276,NV8175
E1827,227,NV8172
E1833,497,NV8166
E1838,276,NV8161
E1844,218,NV8155
E1852,276,NV8147
E1882,298,NV8117
E1883,732,#N/A
E1907,318,NV8092
E1917,497,#N/A
E1922,760,#N/A
E1923,258,NV8076
E1940,298,NV8059
E1940,298,NV8059
E1940,298,NV8059
E1949,497,#N/A
E1965,298,NV8034
E1967,497,NV8032
E1974,437,NV8025
E1978,388,NV8021
E1978,388,NV8021
E1979,298,NV8020
E1981,298,NV8018
E1982,298,NV8017
E1983,248,NV8016
E1984,298,NV8015
E1986,570,NV8013
E1986,570,NV8013
E1988,732,NV8011
E2016,298,NV7983
E2016,298,NV7983
