Code,PRICE,QUANTITY,TYPE,
E1923,349,1,Long,
E2317,319,4,Long,
E2460,399,5,Long,
E1967,379,6,Long,
E2570,599.99,7,Long,
E2589,399.99,9,Long,
E2708,399.99,28,Long,
E2774,399.99,18,Long,
E1502,225,87,Long,
E1696,225,140,Long,E1696 (Black)
E2574,190,22,Long,
E2613,299,7,Long,
E2329,329,9,Long,
E2031,299,8,Long,
E2053,249,16,Long,
E2072,349,8,Long,
E2080,299,21,Long,
E2385,199,13,Long,
E2389,399,5,Long,
E2752,279.99,25,Long,
E2753,225,9,Long,
E2768,299,5,Long,
E2773,199,14,Long,E2773 (MORE PICS)
E1637,349,,Long,
E1937,349,5,Long,
E2060,399,21,Long,
E2229,299,6,Long,
E2324,399,10,Long,
E2335,289,9,Long,
E2403,399.99,22,Long,
E2405,399,,Long,
E2428,299,4,Long,
e2021,299,6,Long,
E2046,399,9,Long,
e2752,299,27,Long,
E2430,399,9,Long,
E2431,399,14,Long,
E2767,329,6,Long,
E2042,329,20,Long,
E2101,249,21,Long,
E2107,399,58,Long,
E2426,399,9,Long,
E2615,249,10,Long,
E2770,379,14,Long,
E2785,225,9,Long,
E2786,299,9,Long,
E2754,299,10,Long,
E2764,299-329,,Long,
E2034,249,12,Short,
E2027,249,37,Short,
E2039,389,3,Short,
E2035,349,7,Short,
E2075,249,22,Short,
E2513,349,19,Short,
E2554,299,29,Short,
E1573,199,53,Short,
E1312,199,54,Short,E1312 (RED)
E1391,225,86 (NEED RED PHOTO),Short,
E1467,349,11,Short,
E2276,329,1,Short,
E2291,249,21,Short,
E2292,299,8,Short,
E2511,299.99,6,Short,
E2560,299,25,Short,
E1510,499.99,22,Short,
E1581,179,62,Short,
E1890,389,13,Short,
E2019,399.99,5,Short,
E2036,249,8,Short,
E2039,389,3,Short,
E2210,499,16,Short,
E2255,369,26,Short,
E2257,369,6,Short,
E2262,249,7,Short,
E2509,299,13,Short,
E2514,249,15,Short,
E2526,,24,Short,
E2531,299,13,Short,
E2535,249,6,Short,
E2540,249,26,Short,
E2543,299,20,Short,
E2544,299,20,Short,
E2550,249,33,Short,
E1544,199.99,66,Short,
E2081,299,31,Short,
