BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,Handle
1,F570,MILANO FORMALS,CORAL,7XL,38,11,3033,#N/A,F570_CORAL_38,,,,,,,B429
1,F570,MILANO FORMALS,CORAL,8XL,40,12,3033,#N/A,F570_CORAL_40,,,,,,,B429
1,F570,MILANO FORMALS,CORAL,5XL,30,13,3033,#N/A,F570_CORAL_30,,,,,,,B429
1,F570,MILANO FORMALS,CORAL,6XL,34,25,3033,#N/A,F570_CORAL_34,,,,,,,B429
2,F570,MILANO FORMALS,BLACK,7XL,38,1,3033,#N/A,F570_BLACK_38,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,8XL,40,1,3033,#N/A,F570_NAVY_40,,,,,,,B429
2,F570,MILANO FORMALS,BLACK,8XL,40,1,3033,#N/A,F570_BLACK_40,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,7XL,38,2,3033,#N/A,F570_NAVY_38,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,2XL,18,3,3033,#N/A,F570_NAVY_18,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,5XL,30,4,3033,#N/A,F570_NAVY_30,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,6XL,34,6,3033,#N/A,F570_NAVY_34,,,,,,,B429
2,F570,MILANO FORMALS,NAVY,S,8,7,3033,#N/A,F570_NAVY_8,,,,,,,B429
2,F1116,MILANO FORMALS,LILAC,8XL,40,12,3033,#N/A,F1116_LILAC_40,,,,,,,B8883
2,F570,MILANO FORMALS,NAVY,M,10,14,3033,#N/A,F570_NAVY_10,,,,,,,B429
3,F1116,MILANO FORMALS,LILAC,20,20,1,3033,#N/A,F1116_LILAC_20,,,,,,,B8883
3,F570,MILANO FORMALS,LILAC,L,12,1,3033,#N/A,F570_LILAC_12,,,,,,,B429
3,F570,MILANO FORMALS,LILAC,S,8,1,3033,#N/A,F570_LILAC_8,,,,,,,B429
3,F1116,MILANO FORMALS,LILAC,12,12,2,3033,#N/A,F1116_LILAC_12,,,,,,,B8883
3,F570,MILANO FORMALS,LILAC,7XL,38,2,3033,#N/A,F570_LILAC_38,,,,,,,B429
3,F1116,MILANO FORMALS,LILAC,6,6,3,3033,#N/A,F1116_LILAC_6,,,,,,,B8883
3,F570,MILANO FORMALS,LILAC,6XL,34,3,3033,#N/A,F570_LILAC_34,,,,,,,B429
3,F1116,MILANO FORMALS,LILAC,7XL,38,3,3033,#N/A,F1116_LILAC_38,,,,,,,B8883
3,F570,MILANO FORMALS,LILAC,8XL,40,22,3033,#N/A,F570_LILAC_40,,,,,,,B429
4,E1799,MILANO FORMALS,FUCHSIA,6,6,2,3033,Prom,E1799_FUCHSIA_6,,,,,,,NV8200
4,E1852,MILANO FORMALS,BURGUNDY,6,6,2,3033,Bridesmaid,E1852_BURGUNDY_6,,,,,,,NV8147
4,E1852,MILANO FORMALS,PINK,6,6,3,3033,Bridesmaid,E1852_PINK_6,,,,,,,NV8147
4,F1116,MILANO FORMALS,CORAL,6XL,34,3,3033,#N/A,F1116_CORAL_34,,,,,,,B8883
4,F1116,MILANO FORMALS,CORAL,7XL,38,5,3033,#N/A,F1116_CORAL_38,,,,,,,B8883
4,F1116,MILANO FORMALS,CORAL,8XL,40,7,3033,#N/A,F1116_CORAL_40,,,,,,,B8883
5,F570,MILANO FORMALS,NAVY,M,10,1,3033,#N/A,F570_NAVY_10,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,4XL,26,1,3033,#N/A,F570_NAVY_26,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,S,8,1,3033,#N/A,F570_NAVY_8,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,2XL,18,4,3033,#N/A,F570_NAVY_18,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,7XL,38,6,3033,#N/A,F570_NAVY_38,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,8XL,40,6,3033,#N/A,F570_NAVY_40,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,5XL,30,7,3033,#N/A,F570_NAVY_30,,,,,,,B429
5,F570,MILANO FORMALS,NAVY,6XL,34,26,3033,#N/A,F570_NAVY_34,,,,,,,B429
6,E1421,MILANO FORMALS,CORAL,4,4,1,3033,Bridesmaid,E1421_CORAL_4,,,,,,,NV8578
