Code,Sum of QUANTITY,Price,Description,ai_description,Category,Collection,Type,Photo
42113,8,299,,,,,,
42113,8,,,,,,,
4386,7,299,,,,,,
4386,6,,,,,,,
AA219,16,,,,Wedding,Wedding,Long,
AA221,3,,,,Wedding,Wedding,Long,
AA222,25,449,This elegant chiffon dress features an off the shoulder neckline accented with a brooch at the side. The waist is cinched in a wide waistband and has a zipper closure on its bodice. From the natural waist begins a full length A-line skirt and finishes in a sweep train.�,"Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-line skirt gracefully flows from the natural waist, culminating in a captivating sweep train. Perfect for formal events, weddings, or any special occasion where you want to exude elegance and sophistication. Elevate your style with this enchanting dress that is sure to make you feel like a true fashion icon.",Wedding,Wedding,Long,
AA229,1,,,,Wedding,Wedding,Long,
AA233,2,,,,Wedding,Wedding,Long,
AA9254,30,299,,,Wedding,Wedding,Long,
AA9256,33,299,,,Wedding,Wedding,Long,
AA9257,33,599,,,Wedding,Wedding,Long,
AA9270,76,299,,,Wedding,Wedding,Long,
AA9271,20,,,,Wedding,Wedding,Long,
AA9298,1,,,,Wedding,Wedding,Long,
AA9301,13,249,,,Wedding,Wedding,Long,
AA9304,4,299,,,Wedding,Wedding,Long,
AA9306,3,,,,Wedding,Wedding,Long,
AA9307,14,389,,,Wedding,Wedding,Long,
AA9308,37,599,,,Wedding,Wedding,Long,
AA9309,36,225,,,Wedding,Wedding,Long,
AA9310,15,299,,,Wedding,Wedding,Long,
AA9312,15,,,,Wedding,Wedding,Long,
AA9313,19,,,,Wedding,Wedding,Long,
AA9314,11,,,,Wedding,Wedding,Long,
AA9315,43,,,,Wedding,Wedding,Long,
AA9316,21,,,,Wedding,Wedding,Long,
AA9317,27,,,,Wedding,Wedding,Long,
AA9318,7,,,,Wedding,Wedding,Long,
AA9319,17,249,,,Wedding,Wedding,Long,
AA9320,3,,,,Wedding,Wedding,Long,
AA9321,1,279,,,Wedding,Wedding,Long,
AA9322,4,349,,,Wedding,Wedding,Long,
AA9326,0,,,,Wedding,Wedding,Long,
AA9327,2,,,,Wedding,Wedding,Long,
AA9329,3,,,,Wedding,Wedding,Long,
AA9330,1,399,,,Wedding,Wedding,Long,
AA9331,12,,,,Wedding,Wedding,Long,
AA9332,6,,,,Wedding,Wedding,Long,
AA9335,1,,,,Wedding,Wedding,Long,
AA9336,2,,,,Wedding,Wedding,Long,
AA9346,2,,,,Wedding,Wedding,Long,
AA9349,5,279,,,Wedding,Wedding,Long,
B8320,1,,,,,,,
B8401,5,299,,,,,,no
B8468,19,,,,,,,
B8472,2,279,,,,,,no
B8486,163,,,,,,,no
B8486,1,,,,,,,
B8506,6,,,,,,,
B8588,25,,,,,,,
B8608,101,179,This Bridesmaid dress is sleek and shimmery with matching chiffon drape sleeves and bust.  ,"Radiate elegance and sophistication in this sleek Bridesmaid dress that shimmers with grace. The chiffon drape sleeves and bust add a touch of ethereal beauty to the overall look, making it perfect for a dreamy wedding affair. Crafted with high-quality materials, this dress ensures both comfort and style, allowing you to dance the night away with ease. Whether you're attending a romantic garden ceremony or a lavish indoor reception, this dress is sure to make you stand out with its unique design and flattering silhouette.","Bridesmaid, Elegant Evening",,,
B8621,5,,,,,,,no
B8622,4,289,,,,,,no
B8660,10,,,,,,,no
B8661,25,,,,,,,no
B8667,18,,,,,,,no
B8691,32,349,,,,,,no
B8716,9,,,,,,,no
B8749,50,,,,,,,no
B8751,1,,,,,Last Dress,,no
B8808,74,199,Simple yet elegant A-Line wedding gown with bandeau Embellished bust ,"Embrace timeless elegance in this A-Line wedding gown featuring a beautifully Embellished bandeau bust. The simple silhouette exudes sophistication, while the intricate detailing adds a touch of glamour. Crafted from luxurious materials, this dress drapes gracefully and moves effortlessly with every step. Perfect for a romantic garden ceremony or a chic city wedding, this gown is sure to make you feel like a modern-day princess. Make a statement on your special day with this exquisite dress that seamlessly blends classic charm with contemporary style.",wedding,,,
B8865,249,249,Elegant Bridesmaid gown with ruched drop waist and bust to show off your figure.  This dress has a zipper enclosure.  This gown is so stunning you could wear it for any formal occasion,"Dazzle in this exquisite Bridesmaid gown, featuring a ruched drop waist and a flattering bust design that accentuates your curves beautifully. Crafted with a zipper closure for ease, this dress exudes elegance and sophistication. The perfect choice for any formal event, this gown is sure to make you stand out and feel like a true fashion icon. Embrace the allure of this stunning piece and make a lasting impression wherever you go.",,,,
B8894,7,,,,,,,no
B8896,13,,,,,,,no
B8898,4,,,,,,,no
B8921,24,,,,,,,no
B8940,4,,,,,,,no
B8967,5,549,,,,,,no
B8998,243,199,A floor length slim A line chiffon gown with double spaghetti strap that finely settle on one shoulder and single strap on the other . This dress also has beading and sequins at the empire waistline for an elegant look.,"Step into the spotlight with this stunning floor-length chiffon gown. The slim A-line silhouette effortlessly flatters your figure, while the double spaghetti strap design adds a touch of sophistication. With one strap delicately settling on your shoulder and the other showcasing a single strap, this dress exudes modern elegance. The beading and sequins at the empire waistline elevate the look, perfect for formal events and special occasions where you want to make a statement. Ideal for Proms, galas, or even a black-tie wedding, this gown is sure to turn heads wherever you go.","Bridesmaid, Elegant Evening",Holiday,,
B9000,104,,,,,,,
BD 2006/741,1,,,,,,,
BD2006/183,10,599,,,,,,
BD2006/200,45,,,,,,,
BD2006/24,39,249,,,,,,
BD2006/344,41,299,,,,,,
BD2006/412,1,,,,,,,
BD2006/413,18,399,,,,,,
BD2006/502,25,599,,,,,,
BD2006/66,48,,,,,,,
BD2006/741,37,299,,,,,,
BD2006/792,2,225,,,,,,
BD2007/09,4,279,,,,,,
BD2007/10,13,299,,,,,,
BD2007/101,10,399,,,,,,
BD2007/182,22,499,,,,,,
BD2007/183,4,299,,,,,,
BD2007/417,13,,,,,,,
E1013,115,279,"Classy and sophisticated sweet heart, floor length evening gown.  The rouching aLong the waist accentuates your wasitline giving your that hour glass figure. ","Elevate your evening look with this stunning floor-length gown, featuring a classy and sophisticated sweetheart neckline. The exquisite ruching detail aLong the waist beautifully accentuates your curves, creating an elegant hourglass silhouette. Crafted from high-quality material, this dress exudes luxury and style, perfect for formal events, galas, or special occasions where you want to make a statement. Embrace your inner glamour and grace in this timeless piece that is sure to turn heads wherever you go.","Prom, Elegant Evening, Bridesmaid",,Long,
E1018,12,,,,,,,NO
E1022,16,199,Semi-sweetheart neckline with corset enclosure.  This evening gown is a perfect choice for Prom or Gala/ pageant.  The beautiful embellishments aLong the bust and waist wraps around to the back of the gown outlining the corset.  The fabric is taffeta,"Elevate your evening look with this stunning gown featuring a semi-sweetheart neckline and a captivating corset enclosure. Ideal for glamorous events like Prom or Gala/ pageants, this dress exudes elegance and sophistication. Intricate embellishments adorn the bust and waist, seamlessly flowing to the back and accentuating the corset detail. Crafted from luxurious taffeta fabric, this gown offers a flattering silhouette and a touch of opulence to your special occasion ensemble. Make a statement and turn heads in this exquisite piece that effortlessly combines style and grace.","Prom, Embellished, Gala/ pageant",,Long,
E1024,103,,,,,,,NO
E1025,1,,,,,,,NO
E1028,2,,,,,,,NO
E1032,54,189,Beautiful and dainty! V-neck bust and chiffon overlay gives this a very flirty feel while showing off your waistlne!   The shoulder straps are beautifully beaded accents that dress this style up for any occasion.  ,"Elegance meets charm in this stunning dress! The V-neck bust and chiffon overlay exude a flirtatious vibe, accentuating your waistline effortlessly. Adorned with beautifully beaded shoulder straps, this dress is a true standout, perfect for any special occasion. Its delicate design adds a touch of sophistication, making it ideal for formal events or romantic dinners. Embrace your femininity and grace in this enchanting ensemble!",Short,Homecoming,Short,
E1044,1,,,,,,,NO
E1064,25,,,,,,,NO
E1065,1,,,,,,,NO
E1068,63,,,,,,,NO
