STYLE NO.,Prices,Description,Sum of QUANTITY,ai_description
42113,299,,8,
42113,,,8,
4386,299,,7,
4386,,,6,
AA219,,,16,
AA221,,,3,
AA222,479,,25,
AA229,,,1,
AA233,,,2,
AA9254,299,,30,
AA9256,299,,33,
AA9257,599,,33,
AA9270,299,,76,
AA9271,149,,20,
AA9298,,,1,
AA9301,249,,13,
AA9304,299,,4,
AA9306,,,3,
AA9307,389,,14,
AA9308,599,,37,
AA9309,225,,36,
AA9310,299,,15,
AA9312,,,15,
AA9313,,,19,
AA9314,,,11,
AA9315,125,,43,
AA9316,,,21,
AA9317,,,27,
AA9318,,,7,
AA9319,249,,17,
AA9320,,,3,
AA9321,279,,1,
AA9322,349,,4,
AA9326,,,0,
AA9327,,,2,
AA9329,99,,3,
AA9330,399,,1,
AA9331,,,12,
AA9332,149,,6,
AA9335,,,1,
AA9336,,,2,
AA9346,,,2,
AA9349,279,,5,
B8320,,,1,
B8401,299,,5,
B8468,,,19,
B8472,279,,2,
B8486,99,,163,
B8486,,,1,
B8506,,,6,
B8588,,,25,
B8608,199,,101,
B8621,,,5,
B8622,289,,4,
B8660,149,,10,
B8661,199,,25,
B8667,,,18,
B8691,349,,32,
B8716,,,9,
B8749,179,,50,
B8751,,,1,
B8808,199,,74,
B8865,199,,249,
B8894,,,7,
B8896,,,13,
B8898,,,4,
B8921,190,,24,
B8940,,,4,
B8967,549,,5,
B8998,199,,243,
B9000,149,,104,
BD 2006/741,,,1,
BD2006/183,599,,10,
BD2006/200,,,45,
BD2006/24,249,,39,
BD2006/344,299,,41,
BD2006/412,,,1,
BD2006/413,399,,18,
BD2006/502,599,,25,
BD2006/66,,,48,
BD2006/741,299,,37,
BD2006/792,225,,2,
BD2007/09,279,,4,
BD2007/10,299,,13,
BD2007/101,399,,10,
BD2007/182,499,,22,
BD2007/183,299,,4,
BD2007/417,,,13,
E1013,279,"Classy and sophisticated sweet heart, floor length evening gown.  The rouching along the waist accentuates your wasitline giving your that hour glass figure. ",115,"Elegance meets glamour in this stunning floor-length evening gown. The sweetheart neckline exudes class and sophistication, while the ruching detail along the waist beautifully accentuates your curves, creating a flattering hourglass silhouette. Made from high-quality fabric, this dress offers both style and comfort, making it perfect for formal events, galas, and special occasions where you want to make a lasting impression. Stand out and feel confident in this timeless piece that effortlessly combines grace and allure."
E1018,,,12,
E1022,199,,16,
E1024,,,103,
E1025,,,1,
E1028,69,,2,
E1032,189,Beautiful and dainty! V-neck bust and chiffon overlay gives this a very flirty feel while showing off your waistlne!   The shoulder straps are beautifully beaded accents that dress this style up for any occasion.  ,54,"Elegantly designed with a chic V-neck bust and a delicate chiffon overlay, this dress exudes a charming and feminine aura. The beaded accents on the shoulder straps add a touch of sophistication, elevating the overall look for any special event. Crafted from high-quality materials, this dress offers both style and comfort, making it a perfect choice for a night out or a formal gathering. Show off your waistline in this beautiful piece and make a lasting impression wherever you go."
E1044,,,1,
E1064,,,25,
E1065,99,,1,
E1068,,,63,
