BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
803,2260,MILANO FORMALS,BLACK/RED,4,1,,3240,,,,,,,4
609,42113,MILANO FORMALS,APRICOT,L,3,,3735,,,,,,,12
609,42113,MILANO FORMALS,APRICOT,XL,2,,3735,,,,,,,14
676,42113,MILANO FORMALS,PINK,M,1,,3733,,,,,,,10
676,42113,MILANO FORMALS,PINK,S,1,,3733,,,,,,,8
623,42213,MILANO FORMALS,PINK,M,1,,3733,,,,,,,10
42,4386,MILANO FORMALS,BLACK,16,3,,3033,,,,,,,16
803,4386,MILANO FORMALS,BLACK,L,1,,3240,,,,,,,12
805,4386,MILANO FORMALS,BLACK,L,1,,3240,,,,,,,12
849,4386,MILANO FORMALS,BLACK,XS,1,,3240,,,,,,,4
726,5134,MILANO FORMALS,,4,2,,3733,,,,,,,4
185,80377,MILANO FORMALS,AQUA,0,1,,3033,,,,,,,0
549,88468,MILANO FORMALS,BLACK,M,11,,3735,,,,,,,10
549,88468,MILANO FORMALS,BLACK,S,10,,3735,,,,,,,8
42,A1054,MILANO FORMALS,IVORY,12,1,,3033,,,,,,,12
211,AA219,ANDY ANAND COUTURE,WHITE,6,1,,3033,,,,,,,6
214,AA219,ANDY ANAND COUTURE,WHITE,4,1,,3033,,,,,,,4
214,AA219,ANDY ANAND COUTURE,WHITE,6,1,,3033,,,,,,,6
242,AA219,ANDY ANAND COUTURE,WHITE,6,1,,3032,,,,,,,6
251,AA219,ANDY ANAND COUTURE,WHITE,9,1,,3032,,,,,,,9
369,AA219,ANDY ANAND COUTURE,IVORY,12,1,,3032,,,,,,,12
567,AA219,ANDY ANAND COUTURE,IVORY,8,3,,3735,,,,,,,8
698,AA219,ANDY ANAND COUTURE,IVORY,6,2,,3733,,,,,,,6
698,AA219,ANDY ANAND COUTURE,IVORY,8,1,,3733,,,,,,,8
707,AA219,ANDY ANAND COUTURE,WHITE,8,2,,3733,,,,,,,8
724,AA219,ANDY ANAND COUTURE,WHITE/IVORY,2024-04-24 00:00:00,1,,3733,,,,,,,2024-04-24 0:00:00
725,AA219,ANDY ANAND COUTURE,,12,1,,3733,,,,,,,12
137,AA221,ANDY ANAND COUTURE,WHITE,8,1,,3033,,,,,,,8
137,AA221,ANDY ANAND COUTURE,WHITE,10,1,,3033,,,,,,,10
268,AA221,ANDY ANAND COUTURE,WHITE,6,1,,3032,,,,,,,6
137,AA222,ANDY ANAND COUTURE,WHITE/IVORY,2,1,,3033,,,,,,,2
482,AA222,ANDY ANAND COUTURE,WHITE,10,1,,3240,,,,,,,10
495,AA222,ANDY ANAND COUTURE,IVORY,4,4,,3240,,,,,,,4
495,AA222,ANDY ANAND COUTURE,IVORY,6,3,,3240,,,,,,,6
570,AA222,ANDY ANAND COUTURE,WHITE,8,2,,3735,,,,,,,8
591,AA222,ANDY ANAND COUTURE,,8,1,,3735,,,,,,,8
623,AA222,ANDY ANAND COUTURE,WHITE,6,1,,3733,,200,,,,,6
625,AA222,ANDY ANAND COUTURE,WHITE,4,1,,3733,,,,,,,4
627,AA222,ANDY ANAND COUTURE,WHITE,6,2,,3733,,,,,,,6
