Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text
aa219,ANDY ANAND COUTURE AA219,"<p>Elegantly crafted in a clean white-ivory hue, this AA219 wedding dress imbues timeless appeal. A beautifully adorned waist complements the flowing bridal gown, while the plant motif injects a hint of natural charm. The enchanting smile of the bride adds an unforgettable touch to this exquisite bridal party dress. </p>
<ul>
<li>Bride Gown</li>
<li>Bridal Party Dress</li>
<li>Waist Adornments</li>
<li>Decorated Bridal Gown</li>
<li>Plant Motif Wedding Dress</li>
</ul>",ANDY ANAND COUTURE,Dress,"White, Ivory, Bride, Dress, Gown, Bridal, Party, Wedding, Adorned",TRUE,Apparel & Accessories > Clothing > Dresses,Size,12,Color,IVORY,aa219_IVORY_12,,shopify,1.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,"White-Ivory Wedding Dress, Bride Gown, Bridal Party Dress, Waist Adornments, Decorated Bridal Gown, Plant Motif Wedding Dress, Flash photography Bridal Dress "
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,2,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,3,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,4,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,5,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,6,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,7,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,8,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,9,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,10,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,11,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,12,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,13,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,14,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,15,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,16,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,17,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,18,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,19,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,20,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,21,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,22,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,23,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,24,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,25,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,26,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,27,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,28,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,29,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,30,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,31,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,32,
aa221,ANDY ANAND COUTURE AA221,"<p>This wedding dress, in elegant white-ivory, features a strapless design that reveals the collarbone area beautifully. Meticulously designed with a full Bridal party dress, it is embellished with details drawn from planting aesthetic. The bridal veil adds a final touch of sophistication, making you the center of attention.</p>
<ul>
<li>White Ivory Dress</li>
<li>Bridal Party Dress</li>
<li>Bridal Veil</li>
</ul>",ANDY ANAND COUTURE,Dress,"White, Ivory, Strapless, Dress, Wedding, Bridal, Veil, Plant, Embellishment",TRUE,Apparel & Accessories > Clothing > Dresses,Size,10,Color,WHITE,aa221_WHITE_10,,shopify,1.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_1.jpg,1,"Strapless Wedding Dress, White Ivory Dress, Bridal Party Dress, Bridal Veil, Wedding Dress with Plants"
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_2.jpg,2,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_3.jpg,3,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_4.jpg,4,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_1.jpg,5,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_2.jpg,6,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_3.jpg,7,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_4.jpg,8,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_1.jpg,9,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_2.jpg,10,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_3.jpg,11,
aa221,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA221_White-Ivory_4.jpg,12,
aa222,ANDY ANAND COUTURE AA222,"<p>Exude elegance on your special day with our stunning white-ivory wedding dress. Beautifully crafted, it features a flattering neckline, cinched at the waist for a feminine silhouette, and graceful sleeves. The accompanying bridal veil completes this enchanting ensemble, making it perfect for any bridal party.</p>
<ul>
<li>Bridal party dress</li>
<li>Bridal attire</li>
<li>Elegant wedding dress</li>
<li>Bridal veil</li>
<li>Waist dress</li>
<li>Neckline dress</li>
</ul>",ANDY ANAND COUTURE,Dress,"White, Ivory, Wedding, Dress, Bride, Veil, Sleeve, Waist, Bridal, Party.",TRUE,Apparel & Accessories > Clothing > Dresses,Size,4,Color,IVORY,aa222_IVORY_4,,shopify,4.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,1,"White wedding dress, Bridal party dress, Bridal attire, Elegant wedding dress, Bridal veil, Waist dress, Neckline dress, Bridal clothing."
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,2,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,3,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_4.jpg,4,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,5,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,6,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,7,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_4.jpg,8,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,9,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,10,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,11,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_4.jpg,12,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,13,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,14,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,15,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_4.jpg,16,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,17,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,18,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,19,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_4.jpg,20,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_1.jpg,21,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_2.jpg,22,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA222_White-Ivory_3.jpg,23,
