Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.clothing_features,metafield.custom.dress_occasion,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type,metafield.custom.sleeve_length_type
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,6.0,Color,IVORY,AA219_IVORY_6,,shopify,2.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,8.0,Color,IVORY,AA219_IVORY_8,,shopify,4.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,12.0,Color,IVORY,AA219_IVORY_12,,shopify,1.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,4.0,Color,WHITE,AA219_WHITE_4,,shopify,1.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,6.0,Color,WHITE,AA219_WHITE_6,,shopify,3.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,8.0,Color,WHITE,AA219_WHITE_8,,shopify,2.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,Elegant Wedding Long Dress AA219,"<p>Step into elegance with this stunning wedding dress, designed to make a statement on your special day. Crafted with intricate details and a flowing silhouette, it's perfect for brides who desire sophistication and beauty. Ideal for weddings, this gown offers a romantic feel, allowing you to capture magical moments with your loved ones. Wear it to your bridal shower or engagement party for a look that is both timeless and unforgettable.  </p>
<ul>
<li>Flowy Dress</li>
<li>A-Line</li>
<li>Elegant</li>
<li>Sweetheart</li>
<li>Sleeveless</li>
<li>Lace</li>
<li>Satin  </li>
</ul>",ANDY ANAND COUTURE,long  ,"Wedding, Bridal, Long, Dress, Elegant,Wedding (Bridal), Bridesmaid, Wedding Guest  ",TRUE,Apparel & Accessories > Clothing > Dresses,Size,9.0,Color,WHITE,AA219_WHITE_9,,shopify,1.0,deny,manual,,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_1.jpg,1,ANDY ANAND COUTURE aa219 AA219_White-Ivory_1.png,"Flowy Dress, A-Line, Elegant, Sweetheart, Sleeveless, Lace, Satin  ","Wedding (Bridal), Bridesmaid, Wedding Guest ",AA219,long  ,Sleeveless
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_3.jpg,2,,,,,,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_4.jpg,3,,,,,,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/AA219_White-Ivory_5.jpg,4,,,,,,
