Code,Color,Size,Brand,Quantity
2260,BLACK/RED,4,MILANO FORMALS,1.0
42113,APRICOT,12,MILANO FORMALS,3.0
42113,APRICOT,14,MILANO FORMALS,2.0
42113,PINK,10,MILANO FORMALS,1.0
42113,PINK,8,MILANO FORMALS,1.0
42213,PINK,10,MILANO FORMALS,1.0
4386,BLACK,12,MILANO FORMALS,2.0
4386,BLACK,16,MILANO FORMALS,3.0
4386,BLACK,4,MILANO FORMALS,1.0
80377,AQUA,0,MILANO FORMALS,1.0
88468,BLACK,10,MILANO FORMALS,11.0
88468,BLACK,8,MILANO FORMALS,10.0
A1054,IVORY,12,MILANO FORMALS,1.0
AA219,IVORY,12,ANDY ANAND COUTURE,1.0
AA219,IVORY,6,ANDY ANAND COUTURE,2.0
AA219,IVORY,8,ANDY ANAND COUTURE,4.0
AA219,WHITE,4,ANDY ANAND COUTURE,1.0
AA219,WHITE,6,ANDY ANAND COUTURE,3.0
AA219,WHITE,8,ANDY ANAND COUTURE,2.0
AA219,WHITE,9,ANDY ANAND COUTURE,1.0
AA219,WHITE/IVORY,2024-04-24 0:00:00,ANDY ANAND COUTURE,1.0
AA221,WHITE,10,ANDY ANAND COUTURE,1.0
AA221,WHITE,6,ANDY ANAND COUTURE,1.0
AA221,WHITE,8,ANDY ANAND COUTURE,1.0
AA222,IVORY,4,ANDY ANAND COUTURE,4.0
AA222,IVORY,6,ANDY ANAND COUTURE,3.0
AA222,WHITE,10,ANDY ANAND COUTURE,1.0
AA222,WHITE,4,ANDY ANAND COUTURE,6.0
AA222,WHITE,6,ANDY ANAND COUTURE,6.0
AA222,WHITE,8,ANDY ANAND COUTURE,2.0
AA222,WHITE/IVORY,2,ANDY ANAND COUTURE,1.0
AA226,WHITE,4,ANDY ANAND COUTURE,1.0
AA229,WHITE/NUDE,6,ANDY ANAND COUTURE,1.0
AA233,WHITE/IVORY,14,ANDY ANAND COUTURE,1.0
AA3257,IVORY,14,ANDY ANAND COUTURE,2.0
AA9249,WHITE,16,ANDY ANAND COUTURE,1.0
AA9251,BURGUNDY,16,ANDY ANAND COUTURE,1.0
AA9254,IVORY,6,ANDY ANAND COUTURE,6.0
AA9254,IVORY,8,ANDY ANAND COUTURE,6.0
AA9254,WHITE,10,ANDY ANAND COUTURE,4.0
AA9254,WHITE,8,ANDY ANAND COUTURE,3.0
AA9256,IVORY,10,ANDY ANAND COUTURE,3.0
AA9256,IVORY,12,ANDY ANAND COUTURE,4.0
AA9256,IVORY,14,ANDY ANAND COUTURE,4.0
AA9256,IVORY,18,ANDY ANAND COUTURE,1.0
AA9256,IVORY,4,ANDY ANAND COUTURE,1.0
AA9256,IVORY,6,ANDY ANAND COUTURE,4.0
AA9256,IVORY,8,ANDY ANAND COUTURE,3.0
AA9256,WHITE,10,ANDY ANAND COUTURE,3.0
AA9256,WHITE,12,ANDY ANAND COUTURE,4.0
AA9256,WHITE,14,ANDY ANAND COUTURE,3.0
AA9256,WHITE,26,ANDY ANAND COUTURE,1.0
AA9257,IVORY,12,ANDY ANAND COUTURE,4.0
AA9257,IVORY,16,ANDY ANAND COUTURE,1.0
AA9257,IVORY,4,ANDY ANAND COUTURE,1.0
AA9257,IVORY,6,ANDY ANAND COUTURE,1.0
AA9257,IVORY,8,ANDY ANAND COUTURE,1.0
AA9257,WHITE,10,ANDY ANAND COUTURE,6.0
AA9257,WHITE,12,ANDY ANAND COUTURE,3.0
AA9257,WHITE,16,ANDY ANAND COUTURE,2.0
AA9257,WHITE,6,ANDY ANAND COUTURE,2.0
AA9257,WHITE,8,ANDY ANAND COUTURE,4.0
AA9257,WHITE/IVORY,2024-04-30 0:00:00,ANDY ANAND COUTURE,1.0
AA9270,APPLE RED,12,ANDY ANAND COUTURE,1.0
AA9270,BURGUNDY,6,ANDY ANAND COUTURE,2.0
AA9270,IVORY,12,ANDY ANAND COUTURE,1.0
AA9270,LAVENDER,12,ANDY ANAND COUTURE,5.0
AA9270,LAVENDER,14,ANDY ANAND COUTURE,1.0
AA9270,LAVENDER,6,ANDY ANAND COUTURE,1.0
AA9270,LAVENDER,8,ANDY ANAND COUTURE,1.0
AA9270,WHITE,12,ANDY ANAND COUTURE,1.0
AA9270,WHITE,18,ANDY ANAND COUTURE,1.0
AA9270,WHITE,2,ANDY ANAND COUTURE,1.0
AA9270,WHITE,6,ANDY ANAND COUTURE,2.0
AA9270,WHITE BURGUNDY,14,ANDY ANAND COUTURE,1.0
AA9270,WHITE BURGUNDY,6,ANDY ANAND COUTURE,1.0
AA9270,WHITE NAVY,12,ANDY ANAND COUTURE,2.0
AA9270,WHITE NAVY,22,ANDY ANAND COUTURE,1.0
AA9270,WHITE/BURGUNDY,0,ANDY ANAND COUTURE,2.0
AA9270,WHITE/BURGUNDY,12,ANDY ANAND COUTURE,2.0
AA9270,WHITE/BURGUNDY,14,ANDY ANAND COUTURE,1.0
AA9270,WHITE/BURGUNDY,18,ANDY ANAND COUTURE,2.0
AA9270,WHITE/BURGUNDY,6,ANDY ANAND COUTURE,1.0
AA9270,WHITE/BURGUNDY,8,ANDY ANAND COUTURE,1.0
AA9270,WHITE/IVORY,12,ANDY ANAND COUTURE,1.0
AA9270,WHITE/IVORY,16,ANDY ANAND COUTURE,2.0
AA9270,WHITE/IVORY,24,ANDY ANAND COUTURE,2.0
AA9270,WHITE/IVORY,6,ANDY ANAND COUTURE,1.0
AA9270,WHITE/IVORY,8,ANDY ANAND COUTURE,1.0
AA9270,WHITE/NAVY,10,ANDY ANAND COUTURE,7.0
AA9270,WHITE/NAVY,12,ANDY ANAND COUTURE,3.0
AA9270,WHITE/NAVY,14,ANDY ANAND COUTURE,1.0
AA9270,WHITE/NAVY,16,ANDY ANAND COUTURE,4.0
AA9270,WHITE/NAVY,22,ANDY ANAND COUTURE,1.0
AA9270,WHITE/NAVY,24,ANDY ANAND COUTURE,3.0
AA9270,WHITE/NAVY,26,ANDY ANAND COUTURE,1.0
AA9270,WHITE/NAVY,6,ANDY ANAND COUTURE,4.0
AA9270,WHITE/NAVY,8,ANDY ANAND COUTURE,7.0
AA9270,WHITE/NAVY,9,ANDY ANAND COUTURE,1.0
