Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,2.0,NV7397_BLACK_2,,shopify,3.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 2,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,4.0,NV7397_BLACK_4,,shopify,3.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 4,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,6.0,NV7397_BLACK_6,,shopify,3.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 6,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,8.0,NV7397_BLACK_8,,shopify,5.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 8,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,10.0,NV7397_BLACK_10,,shopify,3.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 10,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,12.0,NV7397_BLACK_12,,shopify,2.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 12,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,14.0,NV7397_BLACK_14,,shopify,2.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 14,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,18.0,NV7397_BLACK_18,,shopify,1.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: black Size: 18,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,MINT,Size,0.0,NV7397_MINT_0,,shopify,1.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: mint Size: 0,Short Dress NV7397,Short
nv7397,Nova Vogue NV7397,<p>Fairytale teal satin cocktail dress. The front has a deep V-neckline with nude mesh connecting the bust. The cutout back detail is a showstopper with an accented bow</p>,Nova Vogue,Short,"Homecoming, Homecoming 2024, Short Dress",TRUE,Apparel & Accessories > Clothing > Dresses,Color,MINT,Size,2.0,NV7397_MINT_2,,shopify,2.0,deny,manual,225.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E2602_Mint_1.jpg,1,Nova Vogue CODE: nv7397 Color: mint Size: 2,Short Dress NV7397,Short
