Handle,Title,Body (HTML),Vendor,Type,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.dress_style
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,5.0,Color,BLACK,E1032_BLACK_5,,shopify,4.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,2.0,Color,PISTACHIO,E1032_PISTACHIO_2,,shopify,1.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,8.0,Color,PISTACHIO,E1032_PISTACHIO_8,,shopify,7.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,10.0,Color,PISTACHIO,E1032_PISTACHIO_10,,shopify,6.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,8.0,Color,SUNSHINE,E1032_SUNSHINE_8,,shopify,16.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,10.0,Color,SUNSHINE,E1032_SUNSHINE_10,,shopify,12.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,12.0,Color,SUNSHINE,E1032_SUNSHINE_12,,shopify,3.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,MILANO FORMALS E1032,"<p>Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)</p>",MILANO FORMALS,Short,TRUE,Apparel & Accessories > Clothing > Dresses,Size,14.0,Color,SUNSHINE,E1032_SUNSHINE_14,,shopify,5.0,deny,manual,189.0,,TRUE,TRUE,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_1.jpg,1,"MILANO FORMALS e1032 Fun, Flirty and bold V-neck style dress. This dress has a rouched waist and flirty chiffon skirt. The straps have fully beaded accenting to add a touch of glam. Comes in two colors (Sunshine and Pistachio)",E1032
e1032,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_2.jpg,2,,
e1032,,,,,,,,,,,,,,,,,,,,,,https://ecomm-milano-images.s3.amazonaws.com/E1032_Pistachio_3.jpg,3,,
