Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.clothing_features,metafield.custom.dress_occasion,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,6.0,AA219_IVORY_6,,shopify,2.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 IVORY,"IVORY, IVORY Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,8.0,AA219_IVORY_8,,shopify,4.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 IVORY,"IVORY, IVORY Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,12.0,AA219_IVORY_12,,shopify,1.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 IVORY,"IVORY, IVORY Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,4.0,AA219_WHITE_4,,shopify,2.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 WHITE,"WHITE, WHITE Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,6.0,AA219_WHITE_6,,shopify,3.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 WHITE,"WHITE, WHITE Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,8.0,AA219_WHITE_8,,shopify,2.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 WHITE,"WHITE, WHITE Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,9.0,AA219_WHITE_9,,shopify,1.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 WHITE,"WHITE, WHITE Wedding",Wedding,AA219,Wedding
aa219,ANDY ANAND COUTURE Wedding AA219,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,12.0,AA219_WHITE_12,,shopify,1.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_1.png?v=1727407803,1,ANDY ANAND COUTURE aa219 WHITE,"WHITE, WHITE Wedding",Wedding,AA219,Wedding
aa219,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_4.png?v=1727407798,2,,,,,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_2.png?v=1727407796,3,,,,,
aa219,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA219_White-Ivory_3.png?v=1727407793,4,,,,,
aa221,ANDY ANAND COUTURE Wedding AA221,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,6.0,AA221_WHITE_6,,shopify,1.0,deny,manual,173.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA221_White-Ivory_2.png?v=1727407815,1,ANDY ANAND COUTURE aa221 WHITE,"WHITE, WHITE Wedding",Wedding,AA221,Wedding
