Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Box (product.metafields.custom.box),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Display technology (product.metafields.shopify.display-technology),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Test format (product.metafields.shopify.test-format),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
f1116,MILANO FORMALS F1116,"<p>This is a Uncategorized dress by MILANO FORMALS.</p>
<ul></ul>",MILANO FORMALS,Apparel & Accessories > Clothing > Dresses,Uncategorized,"APPLE RED, APPLE RED Uncategorized",true,Color,APPLE RED,,Size,8.0,,,,,F1116_APPLE RED_8,0.0,shopify,8,deny,manual,732.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F1116_Silver_3_ec1d5e8f-f04f-44ae-864a-4c32e60fd00b.png?v=1727882892,1,MILANO FORMALS f1116 WHITE,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
f1116,,,,,,,,,APPLE RED,,,10.0,,,,,F1116_APPLE RED_10,0.0,shopify,4,deny,manual,732.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F1116_Silver_2_23e4a8d5-9abe-40f9-8a95-9de157cd4aa4.png?v=1727882892,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,APPLE RED,,,30.0,,,,,F1116_APPLE RED_30,0.0,shopify,1,deny,manual,732.00,,true,true,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F1116_Silver_1_2108cf76-8db1-4f63-96a8-9eed08e31e54.png?v=1727882892,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,APPLE RED,,,38.0,,,,,F1116_APPLE RED_38,0.0,shopify,5,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,APPLE RED,,,40.0,,,,,F1116_APPLE RED_40,0.0,shopify,16,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BANANA,,,30.0,,,,,F1116_BANANA_30,0.0,shopify,13,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BANANA,,,34.0,,,,,F1116_BANANA_34,0.0,shopify,24,deny,manual,732.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BANANA,,,38.0,,,,,F1116_BANANA_38,0.0,shopify,5,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BANANA,,,40.0,,,,,F1116_BANANA_40,0.0,shopify,10,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
f1116,,,,,,,,,BANANA (FLOWER),,,34.0,,,,,F1116_BANANA (FLOWER)_34,0.0,shopify,6,deny,manual,595.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
