STYLE NO.,COLOR,BOX NUMBER,SIZE_US
570,NAVY,2,8.0
570,NAVY,2,10.0
570,LILAC,3,8.0
570,LILAC,3,12.0
G1116,LILAC,3,12.0
G1116,LILAC,3,6.0
E1852,BURGUNDY,4,6.0
E1799,FUCHSIA,4,6.0
E1852,PINK,4,6.0
570,NAVY,5,8.0
570,NAVY,5,10.0
E1421,CORAL,6,10.0
E1421,CORAL,6,6.0
E2770,RED,6,6.0
E2327,RED/BLACK,6,6.0
E1421,CORAL,6,4.0
E2253,RED,7,14.0
E2513,RED,7,14.0
E2253,RED,7,12.0
E2253,RED,7,10.0
E2513,RED,7,10.0
E2253,RED,7,8.0
E2253,RED,7,6.0
E2513,RED,7,6.0
E2513,RED,7,4.0
E2253,RED ,7,4.0
BD2006/66,BLACK,9,8.0
BD2006/502,OFF WHITE,9,8.0
BD2006/344,OLIVE GREEN,9,8.0
BD2006/741,PURPLE,9,8.0
BD2006/66,BLACK,9,14.0
BD2006/344,OLIVE GREEN,9,14.0
BD2006/66,BLACK,9,12.0
BD2006/502,OFF WHITE,9,12.0
BD2006/344,OLIVE GREEN,9,12.0
BD2006/741,PURPLE,9,12.0
BD2006/66,BLACK,9,10.0
BD2006/502,OFF WHITE,9,10.0
BD2006/344,OLIVE GREEN,9,10.0
BD2006/741,PURPLE,9,10.0
BZ570,ROYAL BLUE,10,14.0
570,ROYAL BLUE,11,8.0
E1127,TRUFFLE,11,14.0
E1127,TRUFFLE,11,12.0
E1127,TRUFFLE,11,10.0
E1890,BLACK,11,8.0
E1890,BLACK,11,6.0
BD2006/413,,12,8.0
BD2007/101,,12,14.0
BD2007/417,,12,14.0
BD2006/413,,12,12.0
BD2007/101,,12,12.0
BD2007/417,,12,12.0
BD2006/413,,12,10.0
BD2007/417,,12,10.0
E2560,NAVY,12,10.0
E2560,NAVY,12,6.0
E2255,FUCHSIA,13,14.0
E2255,FUCHSIA,13,12.0
E2255,FUCHSIA,13,10.0
E2255,FUCHSIA,13,8.0
E2531,ROYAL BLUE,14,8.0
E2531,ROYAL BLUE,14,6.0
E2527,BLACK,14,4.0
E2531,ROYAL BLUE,14,4.0
E2253,RED,15,14.0
E2253,RED,15,12.0
E1745,TURQUOISE GREEN,15,12.0
E2524,GREEN,15,10.0
E2253,RED,15,10.0
E1379,TRUFFLE,15,10.0
