STYLE NO.,COLOR,BOXES NEEDED
570,NAVY,"[288, 64]"
570,LILAC,"[3, 508, 814]"
G1116,LILAC,"[154, 147]"
E1852,BURGUNDY,"[113, 4]"
E1799,FUCHSIA,"[19, 4]"
E1852,PINK,"[4, 141, 167]"
E1421,CORAL,"[81, 6]"
E2770,RED,"[403, 254, 6]"
E2327,RED/BLACK,"[392, 390, 6]"
E2253,RED,"[251, 7]"
E2513,RED,"[312, 7]"
E2253,RED ,[7]
BD2006/66,BLACK,[9]
BD2006/502,OFF WHITE,[9]
BD2006/344,OLIVE GREEN,[9]
BD2006/741,PURPLE,[9]
BZ570,ROYAL BLUE,[10]
570,ROYAL BLUE,"[122, 11]"
E1127,TRUFFLE,"[649, 11]"
E1890,BLACK,"[43, 11]"
BD2006/413,,[]
BD2007/101,,[]
BD2007/417,,[]
E2560,NAVY,"[312, 611, 28, 143]"
E2255,FUCHSIA,"[226, 13, 149]"
E2531,ROYAL BLUE,[14]
E2527,BLACK,"[394, 14, 159]"
E1745,TURQUOISE GREEN,"[35, 15]"
E2524,GREEN,[15]
E1379,TRUFFLE,"[334, 15]"
B8808,IVORY/NAVY,[17]
570,PERRI,[30]
E1379,PEACOCK,[18]
570,FUCHSIA,[19]
BZ570,FUCHSIA,[19]
E2526,GREEN,[110]
E2602,MINT,"[204, 157]"
1582,TEAL,[20]
E1582,FUCHSIA,"[632, 733, 511]"
B1799,GREEN,[20]
E1582,GREEN,[20]
E2101,WINE,"[605, 21]"
E1260,JADE,[57]
570,PERIWINKLE,[23]
E2602,BLACK,"[330, 157, 23]"
E2544,RED,"[232, 378, 23]"
E2225,BLACK / GREEN,[24]
E1531,CORAL,"[121, 509]"
E1605,PURPLE,[667]
E1420,PURPLE,"[25, 52]"
B8998,LIGHT GREEN,[26]
E1730,CHARCOAL,"[144, 333]"
570,PEACH,[27]
G1116,BURGUNDY,[28]
BD2001744,BROWN,[29]
E1984,,[]
E1657,BLACK,"[305, 177, 265, 361]"
AA9307,,[]
AA9308,,[]
E1013,SUNSHINE,"[33, 164, 165]"
E1799,TEAL,[139]
E1696,BLACK,"[520, 33, 414, 503]"
E1520,SANGRIA,[35]
E1270,FUCHSIA,"[166, 671]"
AA9309,,[]
AA9306,CHAMPAGNE/IVORY,[38]
AA9315,,[]
AA9313,,[]
AA9326,,[]
E1730,BURNTORE,[41]
E1421,SILVER,[42]
A1054,IVORY,[42]
E1421,GREY,"[42, 50, 154]"
G1116,IVORY,[42]
E1260,TRUFFLE,"[537, 572, 622, 503]"
E1264,BLACK,[50]
E2543,BLACK,"[848, 43, 110]"
E1581,RED,"[43, 173, 102, 181]"
E1908,SKY BLUE,[414]
E1893,BLACK,"[44, 110]"
E1502,NAVY,"[659, 44, 462]"
E1795,NAVY,[44]
E1663,FUCHSIA,"[360, 292, 45]"
E1463,TEAL,"[45, 117, 158]"
E1838,TEAL,"[601, 219]"
E1730,BURNT ORANGE,"[333, 46]"
E1431,CORAL,[46]
E2171,SKY BLUE,[47]
BZ570,SKY BLUE,"[48, 590]"
1116,SILVER,[50]
E1347,,[]
E1672,BLUE,[93]
B8808,IVORY,[51]
B8808,IVORY/BLACK,[51]
BD2006/741,,[]
E1285,FUCHSIA,[74]
E1582,PURPLE,"[205, 261, 53]"
AA9306,IVORY,"[162, 54]"
AA9315,IVORY,"[129, 163, 168, 365, 119]"
E2182,NAVY,[54]
AA9313,IVORY,"[444, 60, 55]"
