Code,Color,Size,Quantity
f570,APPLE-RED,34,19
f570,BANANA,12,1
f570,BANANA-YELLOW,22,6
f570,BLACK,2,1
f570,BURGUNDY,30,5
f570,CHAMPAGNE,14,1
f570,CORAL,14,1
f570,DARK-GREEN,12,1
f570,FUCHSIA,8,6
f570,GREEN,14,1
f570,IVORY,26,1
f570,LAVENDER,8,1
f570,LILAC,2,1
f570,MINT,14,2
f570,NAVY,2,2
f570,PEACH,2,1
f570,PERIWINKLE,8,1
f570,PERRI,8,22
f570,PINK,12,3
f570,POOL,8,3
f570,PURPLE,0,1
f570,RED,10,1
f570,ROYAL,2,1
f570,ROYAL-BLUE,8,1
f570,SAGE,0,3
f570,SILVER,2,2
f570,SKY-BLUE,8,4
f570,TEAL,22,1
f570,TRUFFLE,10,18
f570,TURQUOISE,18,3
f570,VICTORIA-LILAC,8,4
f570,WHITE,12,1
f570,APPLE-RED,38,17
f570,BANANA,14,1
f570,BANANA-YELLOW,26,16
f570,BLACK,8,1
f570,BURGUNDY,34,46
f570,CHAMPAGNE,26,6
f570,CORAL,16,1
f570,DARK-GREEN,16,1
f570,FUCHSIA,10,1
f570,GREEN,16,1
f570,IVORY,30,10
f570,LAVENDER,10,1
f570,LILAC,8,26
f570,NAVY,5,1
f570,PEACH,8,7
f570,PERIWINKLE,10,1
f570,PERRI,10,6
f570,PINK,14,1
f570,POOL,10,1
f570,PURPLE,2,6
f570,RED,20,1
f570,ROYAL,6,1
f570,ROYAL-BLUE,14,2
f570,SAGE,8,4
f570,SILVER,34,21
f570,SKY-BLUE,10,1
f570,TRUFFLE,12,1
f570,TURQUOISE,22,7
f570,VICTORIA-LILAC,18,1
f570,WHITE,22,2
f570,APPLE-RED,40,7
f570,BANANA,20,1
f570,BANANA-YELLOW,30,52
f570,BLACK,38,7
f570,BURGUNDY,38,34
f570,CHAMPAGNE,30,10
f570,CORAL,26,1
f570,FUCHSIA,26,4
f570,IVORY,34,4
f570,LAVENDER,12,2
f570,LILAC,10,1
f570,NAVY,6,1
f570,PEACH,10,14
f570,PERIWINKLE,12,1
f570,PERRI,12,13
f570,PINK,20,1
f570,POOL,12,3
f570,PURPLE,20,2
f570,RED,30,47
f570,ROYAL,14,3
f570,ROYAL-BLUE,34,34
f570,SAGE,14,1
f570,SILVER,38,22
f570,SKY-BLUE,14,5
f570,TRUFFLE,30,7
f570,TURQUOISE,26,6
f570,VICTORIA-LILAC,22,4
f570,WHITE,26,9
f570,BANANA,22,2
f570,BANANA-YELLOW,38,1
f570,BLACK,40,3
f570,BURGUNDY,40,26
f570,CHAMPAGNE,34,19
f570,CORAL,30,15
f570,FUCHSIA,30,19
f570,IVORY,40,1
f570,LAVENDER,14,1
f570,LILAC,12,18
