Color,Size,Code,Count
APPLE-RED,34,f570,1
APPLE-RED,38,f570,1
APPLE-RED,40,f570,1
BANANA,12,f570,1
BANANA,14,f570,1
BANANA,20,f570,1
BANANA,22,f570,1
BANANA-YELLOW,22,f570,1
BANANA-YELLOW,26,f570,1
BANANA-YELLOW,30,f570,1
BANANA-YELLOW,38,f570,1
BLACK,2,f570,1
BLACK,8,f570,1
BLACK,38,f570,1
BLACK,40,f570,1
BURGUNDY,30,f570,1
BURGUNDY,34,f570,1
BURGUNDY,38,f570,1
BURGUNDY,40,f570,1
CHAMPAGNE,14,f570,1
CHAMPAGNE,26,f570,1
CHAMPAGNE,30,f570,1
CHAMPAGNE,34,f570,1
CORAL,14,f570,1
CORAL,16,f570,1
CORAL,26,f570,1
CORAL,30,f570,1
DARK-GREEN,12,f570,1
DARK-GREEN,16,f570,1
FUCHSIA,8,f570,1
FUCHSIA,10,f570,1
FUCHSIA,26,f570,1
FUCHSIA,30,f570,1
GREEN,14,f570,1
GREEN,16,f570,1
IVORY,26,f570,1
IVORY,30,f570,1
IVORY,34,f570,1
IVORY,40,f570,1
LAVENDER,8,f570,1
LAVENDER,10,f570,1
LAVENDER,12,f570,1
LAVENDER,14,f570,1
LILAC,2,f570,1
LILAC,8,f570,1
LILAC,10,f570,1
LILAC,12,f570,1
MINT,14,f570,1
NAVY,2,f570,1
NAVY,5,f570,1
NAVY,6,f570,1
PEACH,2,f570,1
PEACH,8,f570,1
PEACH,10,f570,1
PERIWINKLE,8,f570,1
PERIWINKLE,10,f570,1
PERIWINKLE,12,f570,1
PERRI,8,f570,1
PERRI,10,f570,1
PERRI,12,f570,1
PINK,12,f570,1
PINK,14,f570,1
PINK,20,f570,1
POOL,8,f570,1
POOL,10,f570,1
POOL,12,f570,1
PURPLE,0,f570,1
PURPLE,2,f570,1
PURPLE,20,f570,1
RED,10,f570,1
RED,20,f570,1
RED,30,f570,1
ROYAL,2,f570,1
ROYAL,6,f570,1
ROYAL,14,f570,1
ROYAL-BLUE,8,f570,1
ROYAL-BLUE,14,f570,1
ROYAL-BLUE,34,f570,1
SAGE,0,f570,1
SAGE,8,f570,1
SAGE,14,f570,1
SILVER,2,f570,1
SILVER,34,f570,1
SILVER,38,f570,1
SKY-BLUE,8,f570,1
SKY-BLUE,10,f570,1
SKY-BLUE,14,f570,1
TEAL,22,f570,1
TRUFFLE,10,f570,1
TRUFFLE,12,f570,1
TRUFFLE,30,f570,1
TURQUOISE,18,f570,1
TURQUOISE,22,f570,1
TURQUOISE,26,f570,1
VICTORIA-LILAC,8,f570,1
VICTORIA-LILAC,18,f570,1
VICTORIA-LILAC,22,f570,1
WHITE,12,f570,1
WHITE,22,f570,1
WHITE,26,f570,1
