Brand,Code,Color,Quantity,Size
MILANO FORMALS,80377,AQUA,1,0
MILANO FORMALS,E1170,APRICOT,1,0
MILANO FORMALS,E1259,SKY BLUE,1,0
MILANO FORMALS,E1259,SKY BLUE,1,0
MILANO FORMALS,E1264,BLACK,1,0
MILANO FORMALS,E1420,SEA BLACK,1,0
MILANO FORMALS,E1502,NAVY,1,0
MILANO FORMALS,E1502,NAVY,1,0
MILANO FORMALS,E1510,WHITE,1,0
MILANO FORMALS,E1520,BURNT ORANGE,1,0
MILANO FORMALS,E1573,PURPLE,1,0
MILANO FORMALS,E1581,RED,1,0
MILANO FORMALS,E1605,PURPLE,1,0
MILANO FORMALS,E1663,NAVY,1,0
MILANO FORMALS,E1663,NAVY,1,0
MILANO FORMALS,E1715,SKY BLUE,1,0
MILANO FORMALS,E1715,SKY BLUE,1,0
MILANO FORMALS,E1715,SKY BLUE,1,0
MILANO FORMALS,E1730,BURNT ORANGE,1,0
MILANO FORMALS,E1778,NAVY,1,0
MILANO FORMALS,E1824,POOL,1,0
MILANO FORMALS,E1827,BLACK,1,0
MILANO FORMALS,E1855,NAVY,1,0
MILANO FORMALS,E1890,BLACK,1,0
MILANO FORMALS,E1891,PURPLE,1,0
MILANO FORMALS,E1892,NAVY/NUDE,1,0
MILANO FORMALS,E1893,BLACK,1,0
MILANO FORMALS,E1904,BLACK,1,0
MILANO FORMALS,E1911,NAVY,1,0
MILANO FORMALS,E1918,GREEN,1,0
MILANO FORMALS,E1918,GREEN,1,0
MILANO FORMALS,E1918,GREEN,1,0
MILANO FORMALS,E1918,GREEN,1,0
MILANO FORMALS,E1931,NAVY,1,0
MILANO FORMALS,E1931,NAVY,1,0
MILANO FORMALS,E1937,BLACK,1,0
MILANO FORMALS,E1946,NAVY,1,0
MILANO FORMALS,E1948,BLACK,1,0
MILANO FORMALS,E1954,PLUM,1,0
MILANO FORMALS,E1954,PLUM,1,0
MILANO FORMALS,E1965,SANGRIA,1,0
MILANO FORMALS,E1967,TEAL,1,0
MILANO FORMALS,E1978,GUNMETAL,1,0
MILANO FORMALS,E1981,ROYAL,1,0
MILANO FORMALS,E1982,CHARCOAL,1,0
MILANO FORMALS,E1986,POOL,1,0
MILANO FORMALS,E1988,ROYAL,1,0
MILANO FORMALS,E1988,ROYAL,1,0
MILANO FORMALS,E2016,RED,1,0
MILANO FORMALS,E2018,PEACOCK,1,0
MILANO FORMALS,E2018,GREEN,1,0
MILANO FORMALS,E2018,GREEN,1,0
MILANO FORMALS,E2020,POOL,1,0
MILANO FORMALS,E2021,WINE,1,0
MILANO FORMALS,E2023,TURQUOISE,1,0
MILANO FORMALS,E2027,WINE,1,0
MILANO FORMALS,E2030,FUCHSIA,1,0
MILANO FORMALS,E2036,GREEN,1,0
MILANO FORMALS,E2036,EMERALD,1,0
MILANO FORMALS,E2042,WINE,1,0
MILANO FORMALS,E2046,ROSE,1,0
MILANO FORMALS,E2046,WHITE,1,0
MILANO FORMALS,E2046,ROSE,1,0
MILANO FORMALS,E2053,NAVY,1,0
MILANO FORMALS,E2067,BLACK/BURGUNDY,1,0
MILANO FORMALS,E2068,MIDNIGHT,1,0
MILANO FORMALS,E2070,PEACH,1,0
MILANO FORMALS,E2072,BLACK,1,0
MILANO FORMALS,E2075,MIDNIGHT,1,0
MILANO FORMALS,E2076,NAVY,1,0
MILANO FORMALS,E2076,WINE,1,0
MILANO FORMALS,E2081,NAVY,1,0
MILANO FORMALS,E2081,NAVY,1,0
MILANO FORMALS,E2084,BLACK,1,0
MILANO FORMALS,E2084,BLACK,1,0
MILANO FORMALS,E2084,BLACK,1,0
MILANO FORMALS,E2100,MIDNIGHT,1,0
MILANO FORMALS,E2100,MIDNIGHT,1,0
MILANO FORMALS,E2104,BLACK,1,0
MILANO FORMALS,E2106,SKY BLUE,1,0
MILANO FORMALS,E2107,LAVENDER,1,0
MILANO FORMALS,E2107,LAVENDER,1,0
MILANO FORMALS,E2107,NAVY,1,0
MILANO FORMALS,E2125,NAVY,1,0
MILANO FORMALS,E2144,MINT,1,0
MILANO FORMALS,E2160,FUCHSIA,1,0
MILANO FORMALS,E2165,FUCHSIA,1,0
MILANO FORMALS,E2171,BLUE,1,0
MILANO FORMALS,E2171,LIGHTBLUE,1,0
MILANO FORMALS,E2171,BLUE,1,0
MILANO FORMALS,E2171,SKY BLUE,1,0
MILANO FORMALS,E2182,NAVY,1,0
MILANO FORMALS,E2233,GOLD,1,0
MILANO FORMALS,E2244,BLACK,1,0
MILANO FORMALS,E2245,BLACK/GREEN,1,0
MILANO FORMALS,E2253,PRINT,1,0
MILANO FORMALS,E2256,ROYAL,1,0
