Code,Color,Size
AA9270,APPLE RED;BURGUNDY;IVORY;LAVENDER;WHITE;WHITE BURGUNDY;WHITE NAVY;WHITE/BURGUNDY;WHITE/IVORY;WHITE/NAVY;WHITE/RED,0;10;12;14;16;18;2;22;24;26;6;8;9
AA9308,IVORY;WHITE,10;14;16;4;6;8
AA9315,IVORY;WHITE;WHITE/IVORY,10;12;14;16;2;4;6;8
B8608,LILAC;PINK;SKY BLUE,10;12;14;18;22;8
B8808,BLACK;IVORY;IVORY/BLACK;IVORY/NAVY;NAVY/IVORY;TRUFFLE;WHITE,10;12;14;30;4;8
B8865,BROWN;CLARET;IVORY;POOL;PURPLE;ROYAL;SAGE;SANGRIA;SILVER;SKY BLUE;TRUFFLE;WHITE,10;12;14;16;18;2;20;22;24;26;28;30;32;34;36;38;4;40;6;8
B8998,APPLE RED;CHAMPAGNE;CLARET;CORAL;LIGHT GREEN;POOL;RED;ROYAL;SANGRIA;TRUFFLE;WHITE;WINE,10;12;14;16;18;2;20;22;24;34;38;4;40;6;8
B9000,BURGUNDY;BURNT ORANGE;DUSTY PINK;LILAC;PURPLE;TRUFFLE,10;12;14;18;22;26;30;34;4;8
E1013,CLARET;FUCHSIA;LILAC;PINK;SANGRIA;SUNSHINE;TRUFFLE,10;12;14;16;18;20;22;24;30;4;6;8
E1168,BURGUNDY;LILAC;NAVY;RED;SAGE;TEAL;TRUFFLE;VICTORIA LILAC,10;12;14;16;18;20;22;24;26;30;4;6;8
E1194,FUCHSIA;SKY BLUE;TEAL;WHITE,10;12;14;38;4;40;8
E1260,CLARET;JADE;PINK;PURPLE;SKY BLUE;TRUFFLE,10;12;14;16;18;20;24;26;30;38;4;6;8
E1264,BLACK;CLARET;CORAL;LILAC;NAVY;ORANGE;SAGE;SILVER;TEAL;VICTORIA LILAC,0;10;12;14;16;18;2;20;24;26;28;30;32;34;36;38;4;40;8
E1270,CORAL;FUCHSIA;LILAC;PEACH;POOL;TEAL,10;12;14;16;18;2;20;24;28;32;36;4;40;6;8
E1285,CAFE;FUCHSIA;LILAC;PINK;PURPLE;SAGE,10;12;14;16;18;20;24;30;4;8
E1295,FUCHSIA;POOL;SAGE;TEAL;TRUFFLE;WATERMELON,10;12;14;16;20;22;24;4;6;8
E1340,APPLE RED;BLACK;CORAL;POOL;PURPLE;RED;WHITE,10;12;14;16;18;4;6;8
E1371,APPLERED/WHITE;SAGE;TRUFFLE/WHITE,10;12;14;18;22;8
E1379,CORAL;NAVY;PEACOCK;SAGE;TEAL;TRUFFLE;WATERMELON,10;18;2;22;24;28;4;6;8
E1387,GREEN;PINK;TURQUOISE,10;12;16;18;2;20;22;24;26;4;8
E1391,CLARET;PURPLE;ROYAL,10;12;2;20;22;24;26;28;4;6;8
E1412,BLACK;BROWN;ROYAL,10;12;14;16;2;20;24;4;6;8
E1420,CHAMPAGNE;PURPLE;ROYAL;SEA BLACK,0;10;12;2;20;22;24;4;6;8
E1421,CORAL;GREY;ROYAL;SILVER,10;12;14;16;2;20;22;24;4;6;8
E1463,CORAL;TEAL;TRUFFLE,0;10;12;14;16;2;20;24;28;30;4;6;8
E1502,CLARET;IVORY;NAVY;POOL;RED,0;10;12;2;4;6;8
E1520,BURNT ORANGE;SANGRIA,0;10;12;14;16;18;2;20;22;24;4;6;8
E1531,CORAL;POOL;PURPLE,10;12;14;16;20;24;4;6;8
E1544,BLACK;RED,10;12;14;18;2;20;22;24;4;6;8
E1546,BLACK;CORAL;PEACH;PURPLE,10;12;14;16;2;20;22;24;4;6;8
E1573,BLACK;BURGUNDY;CORAL;PEACH;PURPLE;ROYAL;SKY BLUE;TEAL,0;10;12;14;16;18;2;24;4;6;8
E1581,BLACK;CLARET;PURPLE;RED,0;10;12;14;16;18;2;22;24;4;6;8
E1582,BURGUNDY;FUCHSIA;GREEN;PURPLE;TEAL,10;12;14;16;18;2;20;22;24;4;6;8
E1657,BLACK;LAVENDER;TEAL,0;10;12;14;16;2;20;22;24;4;6;8
E1663,FUCHSIA;NAVY;PURPLE,0;10;14;16;18;2;22;24;30;4;6;8
E1696,BLACK;BLUE/PINK;CORAL;RED;ROYAL;TEAL,10;12;20;24;4;6;8
E1729,BANANA;FUCHSIA;IVORY;MINT;PINK;PRINT,10;12;2;20;22;4;6;8
E1730,BLUE;BURNT ORANGE;CHARCOAL;ROYAL,0;10;12;14;16;18;2;20;22;24;30;4;6;8
E1796,BISCOTTI;BLACK;IVORY;LAVENDER;NAVY,10;12;2;20;22;4;6;8
E1799,FUCHSIA;GREEN;GREY;LILAC;TEAL,10;12;14;16;2;20;22;24;4;6;8
E1822,IVORY;PEACH,12;16;20;24;26;28;4;6;8
E1931,NAVY,0;10;12;14;18;2;4;6;8
E2027,WINE,0;10;12;14;2;4;6;8
E2106,BABY BLUE;SKY BLUE,0;10;12;14;16;2;4;6;8
E2107,LAVENDER;NAVY,0;10;12;14;16;18;2;4;6;8
E2227,FUCHSIA,0;10;14;18;2;4;6;8
E2253,PRINT;RED;RED ,0;10;12;14;16;18;2;20;4;6;8
E2545,GREEN,0;10;14;18;2;4;6;8
F1116,APPLE RED;BANANA;BANANA (FLOWER);BLACK;BURGUNDY;CHAMPAGNE;CORAL;FUCHSIA;GOLD;IVORY;LAVENDER;LILAC;NAVY;PINK;POOL;PURPLE;RED;ROYAL;SAGE;SILVER;SKY BLUE;TRUFFLE;WHITE,10;12;14;16;18;2;20;22;24;26;30;34;38;4;40;6;8
F570,APPLE RED;BANANA;BANANA YELLOW;BLACK;BURGUNDY;CHAMPAGNE;CORAL;DARK GREEN;FUCHSIA;GREEN;IVORY;LAVENDER;LILAC;MINT;NAVY;PEACH;PERIWINKLE;PERRI;PINK;POOL;PURPLE;RED;ROYAL;ROYAL BLUE;SAGE;SILVER;SKY BLUE;TEAL;TRUFFLE;TURQUOISE;VICTORIA LILAC;WHITE,0;10;12;14;16;18;2;20;22;24;26;30;34;38;40;5;6;8
