Code,Color,Size,Brand,Quantity
2260,BLACK/RED,4,MILANO FORMALS,1
42113,APRICOT,12,MILANO FORMALS,3
42113,APRICOT,14,MILANO FORMALS,2
42113,PINK,8,MILANO FORMALS,1
42113,PINK,10,MILANO FORMALS,1
42213,PINK,10,MILANO FORMALS,1
4386,BLACK,12,MILANO FORMALS,2
4386,BLACK,16,MILANO FORMALS,3
80377,AQUA,0,MILANO FORMALS,1
88468,BLACK,8,MILANO FORMALS,10
88468,BLACK,10,MILANO FORMALS,11
A1054,IVORY,12,MILANO FORMALS,1
AA219,IVORY,6,ANDY ANAND COUTURE,2
AA219,IVORY,8,ANDY ANAND COUTURE,4
AA219,IVORY,12,ANDY ANAND COUTURE,1
AA219,WHITE,4,ANDY ANAND COUTURE,2
AA219,WHITE,6,ANDY ANAND COUTURE,3
AA219,WHITE,8,ANDY ANAND COUTURE,2
AA219,WHITE,9,ANDY ANAND COUTURE,1
AA219,WHITE,12,ANDY ANAND COUTURE,1
AA221,WHITE,6,ANDY ANAND COUTURE,1
AA221,WHITE,8,ANDY ANAND COUTURE,1
AA221,WHITE,10,ANDY ANAND COUTURE,1
AA222,IVORY,4,ANDY ANAND COUTURE,4
AA222,IVORY,6,ANDY ANAND COUTURE,3
AA222,IVORY,8,ANDY ANAND COUTURE,1
AA222,WHITE,4,ANDY ANAND COUTURE,6
AA222,WHITE,6,ANDY ANAND COUTURE,6
AA222,WHITE,8,ANDY ANAND COUTURE,2
AA222,WHITE,10,ANDY ANAND COUTURE,1
AA222,WHITE/IVORY,2,ANDY ANAND COUTURE,1
AA226,WHITE,4,ANDY ANAND COUTURE,1
AA229,WHITE/NUDE,6,ANDY ANAND COUTURE,1
AA233,WHITE/IVORY,14,ANDY ANAND COUTURE,1
AA3257,IVORY,14,ANDY ANAND COUTURE,2
AA9249,WHITE,16,ANDY ANAND COUTURE,1
AA9251,BURGUNDY,16,ANDY ANAND COUTURE,1
AA9254,IVORY,6,ANDY ANAND COUTURE,6
AA9254,IVORY,8,ANDY ANAND COUTURE,6
AA9254,IVORY,12,ANDY ANAND COUTURE,1
AA9254,WHITE,6,ANDY ANAND COUTURE,4
AA9254,WHITE,8,ANDY ANAND COUTURE,6
AA9254,WHITE,10,ANDY ANAND COUTURE,4
AA9254,WHITE,12,ANDY ANAND COUTURE,2
AA9256,IVORY,4,ANDY ANAND COUTURE,1
AA9256,IVORY,6,ANDY ANAND COUTURE,4
AA9256,IVORY,8,ANDY ANAND COUTURE,3
AA9256,IVORY,10,ANDY ANAND COUTURE,3
AA9256,IVORY,12,ANDY ANAND COUTURE,5
AA9256,IVORY,14,ANDY ANAND COUTURE,4
AA9256,IVORY,18,ANDY ANAND COUTURE,1
AA9256,WHITE,10,ANDY ANAND COUTURE,4
AA9256,WHITE,12,ANDY ANAND COUTURE,4
AA9256,WHITE,14,ANDY ANAND COUTURE,3
AA9256,WHITE,26,ANDY ANAND COUTURE,1
AA9257,IVORY,4,ANDY ANAND COUTURE,1
AA9257,IVORY,6,ANDY ANAND COUTURE,1
AA9257,IVORY,8,ANDY ANAND COUTURE,1
AA9257,IVORY,10,ANDY ANAND COUTURE,1
AA9257,IVORY,12,ANDY ANAND COUTURE,4
AA9257,IVORY,16,ANDY ANAND COUTURE,1
AA9257,WHITE,6,ANDY ANAND COUTURE,2
AA9257,WHITE,8,ANDY ANAND COUTURE,4
AA9257,WHITE,10,ANDY ANAND COUTURE,6
AA9257,WHITE,12,ANDY ANAND COUTURE,6
AA9257,WHITE,16,ANDY ANAND COUTURE,2
AA9270,APPLE RED,12,ANDY ANAND COUTURE,1
