Code,Color,Size,Brand,Quantity
AA9270,APPLE RED,12,ANDY ANAND COUTURE,1
AA9270,BURGUNDY,6,ANDY ANAND COUTURE,2
AA9270,IVORY,12,ANDY ANAND COUTURE,1
AA9270,LAVENDER,6,ANDY ANAND COUTURE,1
AA9270,LAVENDER,8,ANDY ANAND COUTURE,1
AA9270,LAVENDER,12,ANDY ANAND COUTURE,5
AA9270,LAVENDER,14,ANDY ANAND COUTURE,1
AA9270,WHITE,2,ANDY ANAND COUTURE,1
AA9270,WHITE,6,ANDY ANAND COUTURE,2
AA9270,WHITE,12,ANDY ANAND COUTURE,1
AA9270,WHITE,18,ANDY ANAND COUTURE,1
AA9270,WHITE BURGUNDY,6,ANDY ANAND COUTURE,1
AA9270,WHITE BURGUNDY,14,ANDY ANAND COUTURE,1
AA9270,WHITE NAVY,12,ANDY ANAND COUTURE,2
AA9270,WHITE NAVY,22,ANDY ANAND COUTURE,1
AA9270,WHITE/BURGUNDY,0,ANDY ANAND COUTURE,2
AA9270,WHITE/BURGUNDY,6,ANDY ANAND COUTURE,1
AA9270,WHITE/BURGUNDY,8,ANDY ANAND COUTURE,1
AA9270,WHITE/BURGUNDY,12,ANDY ANAND COUTURE,2
AA9270,WHITE/BURGUNDY,14,ANDY ANAND COUTURE,1
AA9270,WHITE/BURGUNDY,18,ANDY ANAND COUTURE,2
AA9270,WHITE/IVORY,6,ANDY ANAND COUTURE,1
AA9270,WHITE/IVORY,8,ANDY ANAND COUTURE,1
AA9270,WHITE/IVORY,12,ANDY ANAND COUTURE,1
AA9270,WHITE/IVORY,16,ANDY ANAND COUTURE,2
AA9270,WHITE/IVORY,24,ANDY ANAND COUTURE,2
AA9270,WHITE/NAVY,6,ANDY ANAND COUTURE,4
AA9270,WHITE/NAVY,8,ANDY ANAND COUTURE,7
AA9270,WHITE/NAVY,9,ANDY ANAND COUTURE,1
AA9270,WHITE/NAVY,10,ANDY ANAND COUTURE,7
AA9270,WHITE/NAVY,12,ANDY ANAND COUTURE,3
AA9270,WHITE/NAVY,14,ANDY ANAND COUTURE,1
AA9270,WHITE/NAVY,16,ANDY ANAND COUTURE,4
