STYLE NO.,COLOR,QUANTITY,Photo
2260,Blackred,1.0,no
42113,Apricot,5.0,no
42113,Pink,2.0,no
42213,Pink,1.0,no
4386,Black,6.0,no
5134,,2.0,no
80377,Aqua,1.0,no
88468,Black,21.0,no
A1054,Ivory,1.0,no
AA219,Ivory,7.0,yes
AA219,White,9.0,yes
AA221,White,3.0,yes
AA222,Ivory,8.0,yes
AA222,White,15.0,yes
AA222,Whiteivory,1.0,yes
AA226,White,1.0,yes
AA229,Whitenude,1.0,no
AA233,Whiteivory,1.0,yes
AA3257,Ivory,2.0,no
AA9249,White,1.0,no
AA9251,Burgundy,1.0,no
AA9254,Ivory,13.0,yes
AA9254,White,16.0,yes
AA9256,Ivory,21.0,yes
AA9256,White,12.0,yes
AA9257,Ivory,9.0,yes
AA9257,White,20.0,yes
AA9257,Whiteivory,1.0,yes
AA9270,Whitered,6.0,no
AA9270,Whitenavy,35.0,no
AA9270,Whiteivory,7.0,yes
AA9270,Whiteburgundy,11.0,no
AA9270,Burgundy,2.0,yes
AA9270,Lavender,8.0,yes
AA9270,Ivory,1.0,yes
AA9270,Applered,1.0,no
AA9270,White,5.0,yes
AA9271,Ivory,8.0,no
AA9271,Ivorychampagne,1.0,no
AA9271,White,8.0,no
AA9290,Ivory,1.0,no
AA9292,White,1.0,no
AA9298,White,1.0,yes
AA9298,Whiteivory,1.0,yes
AA9300,Ivory,1.0,no
AA9301,Whiteivory,1.0,yes
AA9301,White,12.0,yes
AA9302,White,2.0,no
AA9303,Ivory,1.0,no
AA9304,White,4.0,yes
AA9305,Ivory,1.0,no
AA9306,Champagneivory,1.0,no
AA9306,Ivory,2.0,yes
AA9307,Ivory,2.0,no
AA9307,White,6.0,no
AA9308,Ivory,3.0,yes
AA9308,White,33.0,yes
AA9309,Ivory,18.0,yes
AA9309,White,16.0,yes
AA9310,White,8.0,yes
AA9310,Ivory,7.0,yes
AA9312,Burgundy,1.0,yes
AA9312,Ivory,3.0,yes
AA9312,White,8.0,yes
AA9313,Ivory,16.0,yes
AA9313,White,2.0,yes
AA9314,Ivory,4.0,yes
AA9314,White,7.0,yes
AA9315,Ivory,20.0,yes
AA9315,White,22.0,yes
AA9315,Whiteivory,1.0,yes
AA9316,Ivory,6.0,yes
AA9316,White,15.0,yes
AA9317,White,19.0,yes
AA9317,Ivory,8.0,yes
AA9318,,1.0,no
AA9318,Ivory,3.0,yes
AA9318,White,4.0,yes
AA9319,Ivory,7.0,yes
AA9319,White,10.0,yes
AA932,Burgundy,4.0,no
AA9320,White,3.0,yes
AA9321,Ivory,1.0,yes
AA9322,Ivory,1.0,yes
AA9322,White,3.0,yes
AA9326,,1.0,no
AA9326,White,1.0,yes
AA9327,Ivory,1.0,yes
AA9327,White,1.0,yes
AA9329,White,1.0,yes
AA9329,Ivory,2.0,yes
AA9330,Ivory,1.0,yes
AA9330,White,1.0,yes
AA9331,Ivory,4.0,yes
AA9331,White,8.0,yes
AA9332,Offwhite,1.0,no
AA9332,White,5.0,yes
AA9335,White,1.0,yes
AA9336,White,1.0,yes
AA9346,Ivory,3.0,yes
AA9349,Ivory,3.0,yes
AA9349,White,2.0,yes
AA9357,White,1.0,no
B1194,Skyblue,1.0,no
B7038,White,1.0,no
B7715,Black,2.0,no
B8088,Ivory,4.0,no
B8124,Perri,1.0,no
B8320,Orange,1.0,no
