STYLE NO.,COLOR,QUANTITY
2260,Blackred,1.0
42113,Apricot,5.0
42113,Pink,2.0
42213,Pink,1.0
4386,Black,6.0
5134,,2.0
80377,Aqua,1.0
88468,Black,21.0
A1054,Ivory,1.0
AA219,Ivory,7.0
AA219,White,9.0
AA221,White,3.0
AA222,Ivory,8.0
AA222,White,15.0
AA222,Whiteivory,1.0
AA226,White,1.0
AA229,Whitenude,1.0
AA233,Whiteivory,1.0
AA3257,Ivory,2.0
AA9249,White,1.0
AA9251,Burgundy,1.0
AA9254,Ivory,13.0
AA9254,White,16.0
AA9256,Ivory,21.0
AA9256,White,12.0
AA9257,Ivory,9.0
AA9257,White,20.0
AA9257,Whiteivory,1.0
AA9270,Whitered,6.0
AA9270,Whitenavy,35.0
AA9270,Whiteivory,7.0
AA9270,Whiteburgundy,11.0
AA9270,Burgundy,2.0
AA9270,Lavender,8.0
AA9270,Ivory,1.0
AA9270,Applered,1.0
AA9270,White,5.0
AA9271,Ivory,8.0
AA9271,Ivorychampagne,1.0
AA9271,White,8.0
AA9290,Ivory,1.0
AA9292,White,1.0
AA9298,White,1.0
AA9298,Whiteivory,1.0
AA9300,Ivory,1.0
AA9301,Whiteivory,1.0
AA9301,White,12.0
AA9302,White,2.0
AA9303,Ivory,1.0
AA9304,White,4.0
AA9305,Ivory,1.0
AA9306,Champagneivory,1.0
AA9306,Ivory,2.0
AA9307,Ivory,2.0
AA9307,White,6.0
AA9308,Ivory,3.0
AA9308,White,33.0
AA9309,Ivory,18.0
AA9309,White,16.0
AA9310,White,8.0
AA9310,Ivory,7.0
AA9312,Burgundy,1.0
AA9312,Ivory,3.0
AA9312,White,8.0
AA9313,Ivory,16.0
AA9313,White,2.0
AA9314,Ivory,4.0
AA9314,White,7.0
AA9315,Ivory,20.0
AA9315,White,22.0
AA9315,Whiteivory,1.0
AA9316,Ivory,6.0
AA9316,White,15.0
AA9317,White,19.0
AA9317,Ivory,8.0
AA9318,,1.0
AA9318,Ivory,3.0
AA9318,White,4.0
AA9319,Ivory,7.0
AA9319,White,10.0
AA932,Burgundy,4.0
AA9320,White,3.0
AA9321,Ivory,1.0
AA9322,Ivory,1.0
AA9322,White,3.0
AA9326,,1.0
AA9326,White,1.0
AA9327,Ivory,1.0
AA9327,White,1.0
AA9329,White,1.0
AA9329,Ivory,2.0
AA9330,Ivory,1.0
AA9330,White,1.0
AA9331,Ivory,4.0
AA9331,White,8.0
AA9332,Offwhite,1.0
AA9332,White,5.0
AA9335,White,1.0
AA9336,White,1.0
AA9346,Ivory,3.0
AA9349,Ivory,3.0
AA9349,White,2.0
AA9357,White,1.0
B1194,Skyblue,1.0
B7038,White,1.0
B7715,Black,2.0
B8088,Ivory,4.0
B8124,Perri,1.0
B8320,Orange,1.0
B8401,Skyblue,3.0
B8472,Sage,1.0
B8486,Black,1.0
B8486,Blackfuchsia,42.0
B8486,Blacklilac,114.0
B8486,Blacklime,4.0
B8506,Pink,5.0
B8581,Pink,1.0
B8588,Skyblue,1.0
B8588,Skyblueblack,11.0
B8588,Fuchsia,11.0
B8588,Pink,3.0
B8608,Pink,17.0
B8608,Skyblue,47.0
B8608,Lilac,37.0
B8621,Blacklilac,1.0
B8621,Blackskyblue,2.0
B8622,Lilac,4.0
B8654,Fuchsia,1.0
B8660,Melon,10.0
B8661,Orange,24.0
B8667,Yellow,17.0
B8680,Melon,1.0
B8691,Melon,31.0
B8716,Fuchsia,8.0
B8749,Green,52.0
B8751,Brown,1.0
B8808,Ivory,25.0
B8808,Ivoryblack,1.0
B8808,Ivorynavy,23.0
B8808,Navyivory,13.0
B8808,Truffle,5.0
B8808,White,1.0
B8808,Black,1.0
B8859,Black,1.0
B8865,Silver,1.0
B8865,Skyblue,8.0
B8865,Truffle,67.0
B8865,Sangria,23.0
B8865,White,40.0
B8865,Sage,8.0
B8865,Royal,1.0
B8865,Purple,29.0
B8865,Pool,1.0
B8865,Ivory,14.0
B8865,Claret,56.0
B8865,Brown,1.0
B8894,Brownchampagne,1.0
B8894,Champagnenavy,2.0
B8895,Coral,5.0
B8896,Trufflewhite,2.0
B8896,Silver,4.0
B8896,Truffle,2.0
B8896,Navy,1.0
B8896,Lilacwhite,1.0
B8896,Purplewhite,2.0
B8898,Coral,1.0
B8921,Lightgreen,8.0
B8921,Truffle,2.0
B8921,Violet,9.0
B8940,Truffle,2.0
B8967,Green,2.0
B8968,Green,1.0
B8998,Royal,11.0
B8998,White,38.0
B8998,Truffle,12.0
B8998,Sangria,23.0
B8998,Red,29.0
B8998,Wine,1.0
B8998,Lightgreen,9.0
B8998,Coral,57.0
B8998,Claret,30.0
B8998,Champagne,1.0
B8998,Applered,9.0
B8998,Pool,14.0
B9000,Truffle,26.0
B9000,Purple,15.0
B9000,Lilac,20.0
B9000,Burntorange,2.0
B9000,Burgundy,11.0
B9000,Dustypink,31.0
B9312,Ivory,1.0
B9314,White,1.0
BD 2006/741,Purple,2.0
