CODE,COLOR,PHOTO
4386,BLACK,NO
42113,APRICOT,NO
42113,PINK,NO
AA219,WHITE,YES
AA219,IVORY,
AA221,WHITE,
AA222,WHITE-IVORY,
AA222,WHITE,
AA222,IVORY,
AA226,WHITE,
AA229,WHITE-NUDE,
AA233,WHITE-IVORY,
AA9254,WHITE,
AA9254,IVORY,
AA9256,WHITE,
AA9256,IVORY,
AA9257,WHITE,
AA9257,IVORY,
AA9257,WHITE-IVORY,
AA9270,WHITE-BURGUNDY,
AA9270,WHITE-NAVY,
AA9270,WHITE,
AA9270,WHITE-IVORY,
AA9270,BURGUNDY,
AA9270,WHITE-RED,
AA9270,APPLE-RED,
AA9270,IVORY,
AA9270,LAVENDER,
AA9271,WHITE,
AA9271,IVORY,
AA9271,IVORY-CHAMPAGNE,
AA9298,WHITE-IVORY,
AA9298,WHITE,
AA9301,WHITE,
AA9301,WHITE-IVORY,
AA9304,WHITE,
AA9306,CHAMPAGNE-IVORY,
AA9306,IVORY,
AA9307,WHITE,
AA9307,IVORY,
AA9308,WHITE,
AA9308,IVORY,
AA9309,WHITE,
AA9309,IVORY,
AA9310,IVORY,
AA9310,WHITE,
AA9312,WHITE,
AA9312,BURGUNDY,
AA9312,IVORY,
AA9313,IVORY,
AA9313,WHITE,
AA9314,IVORY,
AA9314,WHITE,
AA9315,WHITE,
AA9315,IVORY,
AA9315,WHITE-IVORY,
AA9316,IVORY,
AA9316,WHITE,
AA9317,WHITE,
AA9317,IVORY,
AA9318,IVORY,
AA9318,,
AA9318,WHITE,
AA9319,WHITE,
AA9319,IVORY,
AA9320,WHITE,
AA9321,IVORY,
AA9322,WHITE,
AA9322,IVORY,
AA9326,,
AA9326,WHITE,
AA9327,WHITE,
AA9327,IVORY,
AA9329,IVORY,
AA9329,WHITE,
AA9330,IVORY,
AA9330,WHITE,
AA9331,IVORY,
AA9331,WHITE,
AA9332,WHITE,
AA9332,OFF-WHITE,
AA9335,WHITE,
AA9336,WHITE,
AA9346,IVORY,
AA9349,WHITE,
AA9349,IVORY,
B1194,SKY-BLUE,
B8320,ORANGE,
B8401,SKY-BLUE,
B8401,SKYBLUE,
B8468,BLACK,
B8472,SAGE,
B8486,BLACK,
B8486,BLACK-FUCHSIA,
B8486,BLACK-LILAC,
B8486,BLACK-LIME,
B8486,BLACKFUCHSIA,
B8486,BLOCK-LILAC,
B8506,PINK,
B8588,PINK,
B8588,SKYBLUE-BLACK,
B8588,SKY-BLUE,
B8588,FUCHSIA,
B8608,SKY-BLUE,
B8608,LILAC,
B8608,PINK,
B8621,BLACK-SKYBLUE,
B8621,BLACK-LILAC,
B8622,LILAC,
B8654,FUCHSIA,
B8660,MELON,
B8661,ORANGE,
B8667,YELLOW,
B8691,MELON,
B8716,FUCHSIA,
B8716,FUCSHIA,
B8749,GREEN,
B8751,BROWN,
B8808,IVORY-NAVY,
B8808,IVORY,
B8808,IVORY-BLACK,
B8808,WHITE,
B8808,NAVY-IVORY,
B8808,TRUFFLE,
B8808,BLACK,
B8865,WHITE,
B8865,PURPLE,
B8865,SANGRIA,
B8865,BROWN,
B8865,CLARET,
B8865,POOL,
B8865,IVORY,
B8865,SKY-BLUE,
B8865,TRUFFLE,
B8865,SILVER,
B8865,ROYAL,
B8865,SAGE,
B8894,BROWN-CHAMPAGNE,
B8894,CHAMPAGNE-NAVY,
B8894,BROWN,
B8894,NAVY,
B8896,NAVY,
B8896,LILAC-WHITE,
B8896,SILVER,
B8896,TRUFFLE,
B8896,PURPLE-WHITE,
B8896,TRUFFLE-WHITE,
B8898,CORAL,
B8921,LIGHT-GREEN,
B8921,VIOLET,
B8921,TRUFFLE,
B8921,LIGHTGREEN,
B8940,TRUFFLE,
B8967,GREEN,
B8998,LIGHT-GREEN,
B8998,WHITE,
B8998,SANGRIA,
B8998,RED,
B8998,CLARET,
B8998,CORAL,
B8998,APPLE-RED,
B8998,POOL,
B8998,CHAMPAGNE,
B8998,ROYAL,
B8998,WINE,
B8998,TRUFFLE,
B9000,BURGUNDY,
B9000,PURPLE,
B9000,TRUFFLE,
B9000,DUSTY-PINK,
B9000,BURNT-ORANGE,
B9000,LILAC,
BD2006/741,PURPLE,
BD2006/183,MIDNIGHT-BLUE,
BD2006/200,,
BD2006/200,BLACK,
BD2006/24,BLACK,
BD2006/344,OLIVE-GREEN,
BD2006/412,BLACK,
BD2006/413,,
BD2006/502,OFF-WHITE,
BD2006/502,,
BD2006/66,BLACK,
BD2006/741,,
BD2006/792,WINE,
BD2007/09,,
BD2007/10,BEIGE,
BD2007/10,GOLD,
BD2007/101,,
BD2007/182,,
BD2007/183,BLACK-GREY,
BD2007/417,,
E1013,SUNSHINE,
E1013,SANGRIA,
E1013,TRUFFLE,
E1013,LILAC,
E1013,FUCHSIA,
E1013,CLARET,
E1013,PINK,
E1018,ORANGE,
E1022,PURPLE,
E1022,SUNSHINE,
E1022,SUNRISE,
E1024,LILAC,
E1024,BANANA,
E1024,MINT,
E1024,PERSIMMON,
E1024,TRUFFLE,
E1025,NAVY,
E1028,WHITE,
E1032,BLACK,
E1032,PISTACHIO,
E1032,SUNSHINE,
E1044,DARKCELADON,
E1064,MINT,
E1064,CHARCOAL,
E1065,PURPLE,
E1068,BURGUNDY,
E1068,KIWI,
E1068,VICTORIA-LILAC,
E1071,TRUFFLE,
E1071,PEACH-FIZZ,
E1089,PEACH,
E1089,CORAL,
E1089,SUNSHINE,
E1118,LILAC,
E1118,CORAL,
E1118,PURPLE,
E1119,CHAMPAGNE,
E1119,VICTORIA-LILAC,
E1119,BURGUNDY,
E1127,TRUFFLE,
E1127,DARK-PINK,
E1168,LILAC,
E1168,TRUFFLE,
E1168,SAGE,
E1168,BURGUNDY,
E1168,TEAL,
E1168,VICTORIA-LILAC,
E1168,RED,
E1168,NAVY,
E1194,FUCHSIA,
E1194,TEAL,
E1194,SKY-BLUE,
E1194,WHITE,
E1194,SKYBLUE,
E1194,FUSCHIA,
E1250,CORAL,
E1259,SKY-BLUE,
E1259,PINK,
E1259,WHITE,
E1259,GOLD,
E1260,JADE,
E1260,TRUFFLE,
E1260,SKY-BLUE,
E1260,CLARET,
E1260,PINK,
E1260,PURPLE,
E1264,BLACK,
E1264,CLARET,
E1264,CORAL,
E1264,TEAL,
E1264,NAVY,
E1264,LILAC,
E1264,SILVER,
E1264,ORANGE,
E1264,SAGE,
E1264,VICTORIA-LILAC,
E1265,GREEN,
E1265,BLUE,
E1265,COFFEE,
E1270,FUCHSIA,
E1270,TEAL,
E1270,POOL,
E1270,CORAL,
E1270,LILAC,
E1270,PEACH,
E1275,DARK-LILAC,
E1278,GREY,
E1285,LILAC,
E1285,FUCHSIA,
E1285,SAGE,
E1285,CAFE,
E1285,PURPLE,
E1285,PINK,
E1294,TEAL,
E1295,TEAL,
E1295,TRUFFLE,
E1295,FUCHSIA,
E1295,SAGE,
E1295,WATERMELON,
E1295,POOL,
E1303,GREY,
E1312,SUNSHINE,
E1312,CLARET,
E1312,SANGRIA,
E1312,SILVER,
E1319,PURPLE,
E1319,WHITE-BLACK,
E1322,PURPLE,
E1326,NAVY,
E1327,BLACK,
E1333,TEAL,
E1334,FUCHSIA,
E1336,PURPLE,
E1336,LILAC,
E1340,PURPLE,
E1340,APPLE-RED,
E1340,POOL,
E1340,WHITE,
E1340,BLACK,
E1340,CORAL,
E1340,RED,
E1342,FUCHSIA,
E1344,YELLOW,
E1347,BLUE,
E1348,PLATINUM,
E1354,LILAC,
E1356,TRUFFLE,
E1356,CORAL,
E1356,SKY-BLUE,
E1371,APPLERED-WHITE,
E1371,SAGE,
E1371,TRUFFLE-WHITE,
E1378,RED,
E1379,TRUFFLE,
E1379,PEACOCK,
E1379,CORAL,
E1379,NAVY,
E1379,WATERMELON,
E1379,TEAL,
E1379,SAGE,
E1381,PURPLE,
E1385,RED,
E1386,PLUM,
E1386,LILAC,
E1387,PINK,
E1387,TURQUOISE,
E1387,GREEN,
E1391,PURPLE,
E1391,CLARET,
E1391,ROYAL,
E1396,PURPLE,
E1412,BROWN,
E1412,ROYAL,
E1412,BLACK,
E1420,PURPLE,
E1420,ROYAL,
E1420,CHAMPAGNE,
E1420,SEA-BLACK,
E1421,CORAL,
E1421,GREY,
E1421,SILVER,
E1421,ROYAL,
E1422,PURPLE,
E1424,TEAL,
E1428,PURPLE,
E1436,VICTORIA,
E1436,POOL,
E1438,BLACK,
E1439,TEAL,
E1439,EMERALD,
E1439,GREY,
E1442,BLACK,
E1448,PURPLE-BLACK,
E1449,SILVER,
E1452,PURPLE,
E1463,TEAL,
E1463,CORAL,
E1463,TRUFFLE,
E1465,PURPLE,
E1467,GOLD,
E1470,PEACH,
E1470,GOLD,
E1472,ROYAL,
E1497,PURPLE,
E1502,NAVY,
E1502,CLARET,
E1502,IVORY,
E1502,RED,
E1502,POOL,
E1503,SKY-BLUE,
E1503,SKYBLUE,
E1507,WATERMELON,
E1508,NUDE,
E1510,WHITE,
E1510,WHITE-BLUE,
E1520,SANGRIA,
E1520,BURNT-ORANGE,
E1531,CORAL,
E1531,POOL,
E1531,PURPLE,
E1531,BLACK,
E1537,BLACK,
E1538,SAGE,
E1540,BLUE-PINK,
E1540,BLUEPINK,
E1544,BLACK,
E1544,RED,
E1546,BLACK,
E1546,PURPLE,
E1546,CORAL,
E1546,PEACH,
E1546,PINK,
E1552,BLACK,
E1573,BLACK,
E1573,PURPLE,
E1573,PEACH,
E1573,CORAL,
E1573,BURGUNDY,
E1573,SKY-BLUE,
E1573,ROYAL,
E1573,TEAL,
E1579,WHITE,
E1581,RED,
E1581,BLACK,
E1581,PURPLE,
E1581,CLARET,
E1582,FUCHSIA,
E1582,GREEN,
E1582,TEAL,
E1582,PURPLE,
E1582,BURGUNDY,
E1593,POOL,
E1596,PURPLE,
E1597,POOL,
E1605,PURPLE,
E1636,BLACK,
E1637,BLACK,
E1637,BLACK-NUDE,
E1657,BLACK,
E1657,TEAL,
E1657,LAVENDER,
E1663,FUCHSIA,
E1663,NAVY,
E1663,PURPLE,
E1672,SKY-BLUE,
E1672,ROYAL,
E1676,BLUE-PINK,
E1676,BLUE-FUCHSIA,
E1683,WHITE,
E1685,FUCHSIA,
E1694,TEAL,
E1696,BLACK,
E1696,TEAL,
E1696,CORAL,
E1696,ROYAL,
E1696,RED,
E1696,BLUE-PINK,
E1715,SKY-BLUE,
E1716,PURPLE,
E1729,IVORY,
E1729,MINT,
E1729,FUCHSIA,
E1729,PRINT,
E1729,PINK,
E1729,BANANA,
E1730,CHARCOAL,
E1730,BURNT-ORANGE,
E1730,BLUE,
E1730,ROYAL,
E1745,TURQUOISE-GREEN,
E1745,TURQUOISE,
E1761,RED,
E1762,PURPLE,
E1767,BLACK,
E1767,BLACK-SILVER,
E1774,POWDER-BLUE,
E1778,NAVY,
E1795,NAVY,
E1795,BISCOTTI,
E1795,IVORY,
E1796,BLACK,
E1796,BISCOTTI,
E1796,IVORY,
E1796,NAVY,
E1796,LAVENDER,
E1799,FUCHSIA,
E1799,GREEN,
E1799,TEAL,
E1799,GREY,
E1799,LILAC,
E1809,ORANGE,
E1822,IVORY,
E1822,PEACH,
E1824,POOL,
E1827,BLACK,
E1831,RED,
E1833,PURPLE-GOLD,
