CODE,COLOR,PHOTO,COUNT,NOT IN INVENTORY
4386,BLACK,NO,0,
42113,APRICOT,NO,0,
42113,PINK,NO,0,
AA219,WHITE,NO,0,
AA219,IVORY,NO,0,
AA221,WHITE,NO,0,
AA222,WHITE-IVORY,YES,4,
AA222,WHITE,NO,0,
AA222,IVORY,NO,0,
AA226,WHITE,NO,0,
AA229,WHITE-NUDE,NO,0,
AA233,WHITE-IVORY,NO,0,
AA9254,WHITE,NO,0,
AA9254,IVORY,NO,0,
AA9256,WHITE,NO,0,
AA9256,IVORY,NO,0,
AA9257,WHITE,YES,1,
AA9257,IVORY,NO,0,
AA9257,WHITE-IVORY,NO,0,
AA9270,WHITE-BURGUNDY,NO,0,
AA9270,WHITE-NAVY,NO,0,
AA9270,WHITE,NO,0,
AA9270,WHITE-IVORY,YES,4,
AA9270,BURGUNDY,NO,0,
AA9270,WHITE-RED,NO,0,
AA9270,APPLE-RED,NO,0,
AA9270,IVORY,NO,0,
AA9270,LAVENDER,NO,0,
AA9271,WHITE,NO,0,
AA9271,IVORY,NO,0,
AA9271,IVORY-CHAMPAGNE,NO,0,
AA9298,WHITE-IVORY,YES,4,
AA9298,WHITE,NO,0,
AA9301,WHITE,NO,0,
AA9301,WHITE-IVORY,YES,4,
AA9304,WHITE,NO,0,
AA9306,CHAMPAGNE-IVORY,NO,0,
AA9306,IVORY,NO,0,
AA9307,WHITE,NO,0,
AA9307,IVORY,NO,0,
AA9308,WHITE,NO,0,
AA9308,IVORY,NO,0,
AA9309,WHITE,NO,0,
AA9309,IVORY,NO,0,
AA9310,IVORY,NO,0,
AA9310,WHITE,NO,0,
AA9312,WHITE,NO,0,
AA9312,BURGUNDY,NO,0,
AA9312,IVORY,YES,1,
AA9313,IVORY,NO,0,
AA9313,WHITE,NO,0,
AA9314,IVORY,NO,0,
AA9314,WHITE,NO,0,
AA9315,WHITE,NO,0,
AA9315,IVORY,NO,0,
AA9315,WHITE-IVORY,YES,4,
AA9316,IVORY,NO,0,
AA9316,WHITE,NO,0,
AA9317,WHITE,NO,0,
AA9317,IVORY,NO,0,
AA9318,IVORY,NO,0,
AA9318,,NO,0,
AA9318,WHITE,NO,0,
AA9319,WHITE,NO,0,
AA9319,IVORY,NO,0,
AA9320,WHITE,YES,1,
AA9321,IVORY,NO,0,
AA9322,WHITE,NO,0,
AA9322,IVORY,NO,0,
AA9326,,NO,0,
AA9326,WHITE,NO,0,
AA9327,WHITE,NO,0,
AA9327,IVORY,NO,0,
AA9329,IVORY,NO,0,
AA9329,WHITE,NO,0,
AA9330,IVORY,NO,0,
AA9330,WHITE,NO,0,
AA9331,IVORY,NO,0,
AA9331,WHITE,NO,0,
